"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
4524,1630.16442385621,6269.08817104558,30905.8102402265,69871.0127602124,111722887.702675,34343534.3369338,146066422.039609,0.0321475442781447,0.0294073732400594,11,6,8,45,1.2,17,22,60,20,0.19466325955186,0.139569969108252,2003,2706
4525,1640.62795331069,6274.0279515264,38084.8903078197,53085.0167822334,113003565.719873,34597669.3455011,147601235.065374,0.0321195263540221,0.0295776411785218,11,6,8,45,1.2,17,30,40,17,0.198387561236075,0.142622897230433,2061,2729
4526,1631.71089094118,6205.38839959058,35436.7834030276,55863.3246516071,113292886.296336,34037710.5878645,147330596.8842,0.0321226540331572,0.0292703618340109,11,6,8,45,1.2,17,30,40,20,0.199228925806818,0.135896103279109,2075,2669
4527,1632.42873277063,5616.92600387131,29170.502311956,101168.045484374,121982296.910551,31274077.9658045,153256374.876355,0.0333114234890231,0.0279342666884467,11,6,8,45,1.2,17,30,60,17,0.224498342592906,0.102696538217894,2439,2337
4528,1624.72215055118,5558.46524514623,28408.0846070182,104804.056642948,122266711.69048,30814602.091453,153081313.781933,0.0333139047297755,0.0276466311966052,11,6,8,45,1.2,17,30,60,20,0.225325440762534,0.097176846829529,2448,2271
4529,2335.87422662751,6145.60181045487,59015.269472354,35288.8894335585,103746549.495509,37959005.5794976,141705555.075007,0.0309649136221651,0.030703092895621,11,6,8,45,1.5,14,22,40,17,0.171467507442511,0.183002685811017,1691,3011
4530,2331.61354223846,6110.8615430573,54710.8879049305,37503.857796714,104025890.432477,37303488.8042911,141329379.236769,0.0309682948826487,0.0303755269467561,11,6,8,45,1.5,14,22,40,20,0.172279850520201,0.175127951791209,1700,2963
4531,2468.95883572923,6442.25660961012,31217.2462644346,76559.3717908591,113310456.399862,33299996.2616498,146610452.661511,0.0322691290174507,0.0288490434885833,11,6,8,45,1.5,14,22,60,17,0.199280020902754,0.127033928699805,2077,2594
4532,2465.40540714969,6413.8902163586,29236.6218634422,79916.8791069729,113591795.739816,32765256.8814236,146357052.62124,0.0322718078049034,0.0285425157620919,11,6,8,45,1.5,14,22,60,20,0.200098175476783,0.120610095552482,2091,2534
4533,2502.93580765705,6512.63049415293,34078.6446919275,61650.7366984696,114765683.938593,33114979.9955681,147880663.934161,0.0322469159675587,0.0288225047067212,11,6,8,45,1.5,14,30,40,17,0.203511924863494,0.124811325190883,2145,2572
4534,2499.27146088471,6483.38618422415,31727.2652491241,64701.7557238235,115073897.94998,32566512.6514787,147640410.601459,0.0322501309070079,0.028510365005905,11,6,8,45,1.5,14,30,40,20,0.204408232870889,0.118222577783322,2159,2512
4535,2656.09555796741,6973.28596858121,31215.5695838561,115304.677508001,124307816.554951,29838200.1236242,154146016.678576,0.033466772750628,0.0270355922382277,11,6,8,45,1.5,14,30,60,17,0.231261117163883,0.0854473136064522,2530,2129
4536,2653.10086044907,6949.92228047796,30799.4243978642,119225.000678457,124610578.241638,29394415.0975939,154004993.339232,0.0334693192787704,0.0267433956736601,11,6,8,45,1.5,14,30,60,20,0.23214156942784,0.0801161166422543,2541,2063
4537,1684.76809992865,7258.28035387379,66210.5904142246,30495.5582016193,102973796.685824,38172222.1710858,141146018.85691,0.0308738191177946,0.0307697567513429,11,6,8,45,1.5,17,22,40,17,0.169220287960373,0.185564060303436,1662,3023
4538,1674.91646774394,7181.3352455401,61651.646324278,32442.7113629101,103244278.113839,37525005.3570054,140769283.470845,0.0308771089134206,0.0304474523306613,11,6,8,45,1.5,17,22,40,20,0.170006866963353,0.177789033855906,1671,2980
4539,1641.65980819946,6344.61298571254,33264.4435339636,66403.3071706137,112071987.623448,33653002.2754172,145724989.898865,0.0321483516551338,0.0289993263791554,11,6,8,45,1.5,17,22,60,17,0.195678466657343,0.131274595866462,2017,2634
4540,1633.0923244261,6278.58702829684,30958.2644422558,69472.0591691707,112344036.861643,33120634.8444522,145464671.706095,0.0321509619713836,0.0286976702833597,11,6,8,45,1.5,17,22,60,20,0.196469604962515,0.124879256985413,2034,2574
4541,1645.58152152258,6284.55169106222,38132.9365590316,52828.7476259729,113639439.159244,33395402.5771154,147034841.736359,0.0321232081944015,0.0289312643242327,11,6,8,45,1.5,17,30,40,17,0.200236725889013,0.128180046368365,2092,2603
4542,1636.62414676756,6215.79269065061,35473.3948380377,55589.9944774529,113937583.412002,32851980.573523,146789563.985525,0.0321263356060721,0.028624220431728,11,6,8,45,1.5,17,30,40,20,0.201103750330577,0.121651908720854,2108,2542
4543,1635.0315348915,5625.29519196342,29186.3807105141,100711.147333243,122689387.386573,30176252.2736179,152865639.660191,0.0333148302180592,0.0272267659657363,11,6,8,45,1.5,17,30,60,17,0.22655461139379,0.0895083397566772,2462,2172
4544,1627.30556578629,5566.75440312944,28403.4086631525,104329.214391808,122981961.264113,29732257.5499211,152714218.814034,0.0333173112532026,0.0269392839797557,11,6,8,45,1.5,17,30,60,20,0.227405436792717,0.0841746236908919,2478,2113
4545,2371.14132038259,6124.11646134416,55268.7703508516,30403.6213991171,189581151.37082,25345375.7200328,214926527.090853,0.0385769748482582,0.0238816130703822,11,6,12,35,1.2,14,22,40,17,0.421080562430034,0.031474938658705,3251,1063
4546,2367.09537294078,6091.32674084309,51177.0892335076,32120.2770121299,190100675.86049,24993863.7335337,215094539.594023,0.0385798941326687,0.0235590973178256,11,6,12,35,1.2,14,22,40,20,0.422591376159859,0.0272522192666918,3262,853
4547,2523.40391558085,6467.61498349573,27246.5495999591,68798.3763053492,205227945.946309,25171231.7085609,230399177.654869,0.0400282731132063,0.0217567822428099,11,6,12,35,1.2,14,22,60,17,0.466582540763009,0.0293829437268417,3691,967
4548,2520.09917018434,6441.44290452522,25496.3200896633,71588.9256939679,205724749.619618,24925082.6599287,230649832.279547,0.0400307625325742,0.0214565666876861,11,6,12,35,1.2,14,22,60,20,0.468027280761967,0.0264259510753623,3703,806
4549,2532.33831536305,6500.0826851683,32682.8479967198,51539.1325846991,204015570.698941,24626357.3879642,228641928.086905,0.0397277460916726,0.0220814759994656,11,6,12,35,1.2,14,30,40,17,0.463056868334001,0.0228373593707877,3652,629
4550,2528.83718137934,6472.26129927236,30333.3186120996,53966.8519022197,204545669.357563,24360025.9752346,228905695.332798,0.0397305326451451,0.0217729727115874,11,6,12,35,1.2,14,30,40,20,0.464598432490327,0.0196379156407554,3670,458
4551,2707.54891620412,7013.81567757874,29035.260198743,101850.944771959,219218604.868901,25666401.3216699,244885006.190571,0.0410935769346857,0.0201149219871833,11,6,12,35,1.2,14,30,60,17,0.507268360218778,0.0353314245978246,4094,1215
4552,2704.73800032337,6992.128427954,28687.6866257317,105117.736095214,219719178.933277,25489765.2449796,245208944.178257,0.0410959518306137,0.0198280844859093,11,6,12,35,1.2,14,30,60,20,0.508724064779952,0.0332094924446765,4107,1132
4553,1677.80515872782,7020.75797829942,62328.6599217601,26373.2775339712,188086918.684257,25323267.3693721,213410186.053629,0.0384785393296057,0.0239549666669017,11,6,12,35,1.2,17,22,40,17,0.41673522875799,0.0312093506712506,3220,1052
4554,1668.40695728605,6947.5175223379,57987.9880844574,27849.7597068379,188594082.28134,24974204.5173895,213568286.79873,0.0384813849545182,0.0236376477993355,11,6,12,35,1.2,17,22,40,20,0.418210096143411,0.0270160527732796,3231,839
4555,1634.97716818754,6055.32978299665,28427.118981666,59387.8298333443,203313895.406349,25047915.504353,228361810.910702,0.0398974562311512,0.0218730285887311,11,6,12,35,1.2,17,22,60,17,0.461016347267128,0.0279015440965066,3630,887
4556,1626.89176405388,5993.30532858081,26377.7219116923,61920.3342993302,203798408.541944,24801035.4091885,228599443.951133,0.0398998822153786,0.021577704566617,11,6,12,35,1.2,17,22,60,20,0.462425345518594,0.0249357693707669,3645,728
4557,1646.76560683614,6146.33659686516,36860.1376071175,44021.4318899596,202092004.969458,24542820.926173,226634825.895631,0.0395999198078138,0.0221942786690536,11,6,12,35,1.2,17,30,40,17,0.457463003998227,0.0218338344535889,3585,566
4558,1638.18451423184,6080.50303016005,34213.0994894157,46189.9828396478,202608853.449134,24276118.4354777,226884971.884612,0.0396026355363546,0.0218908209164796,11,6,12,35,1.2,17,30,40,20,0.458966035702913,0.0186299329577284,3606,403
4559,1638.7529751696,5439.47458085405,26484.3932862735,88415.6170200289,216940923.553354,25387313.664081,242328237.217435,0.0409347878462902,0.0202466091848584,11,6,12,35,1.2,17,30,60,17,0.500644702870341,0.031978739884254,4039,1085
4560,1631.42529201527,5384.19382974548,25779.4391657011,91408.6949069044,217429517.821624,25208048.2959593,242637566.117584,0.0409371018539624,0.0199641461540766,11,6,12,35,1.2,17,30,60,20,0.502065569342459,0.0298252220090235,4048,984
4561,2372.44177799639,6128.14620102096,55371.0572740799,30213.3959769002,190707001.533838,24570879.54161,215277881.075448,0.03858031775218,0.0231745773645739,11,6,12,35,1.5,14,22,40,17,0.42435461383249,0.0221709030716437,3273,586
4562,2368.38035902139,6095.29395913701,51260.2945816322,31912.5849203309,191235801.071705,24237100.0816303,215472901.153335,0.0385832367970836,0.0228522577865695,11,6,12,35,1.5,14,22,40,20,0.425892400054353,0.0181612048182506,3285,385
4563,2525.83349966968,6473.90847534043,27322.1462260407,68590.3593259635,206367285.745097,24619472.1729257,230986757.918023,0.040031626127515,0.0210774597751749,11,6,12,35,1.5,14,22,60,17,0.469895820974382,0.0227546471669996,3724,622
4564,2522.50559163669,6447.66144890807,25570.5959689841,71366.0326959079,206871282.741493,24389086.7429843,231260369.484478,0.0400341153378077,0.0207778080808548,11,6,12,35,1.5,14,22,60,20,0.471361479662445,0.0199870231313589,3738,471
4565,2533.42889321378,6503.41152221928,32736.3708692527,51279.1704454843,205228173.744643,23993922.3465159,229222096.091159,0.0397310779105395,0.0213769568118969,11,6,12,35,1.5,14,30,40,17,0.466583203216577,0.0152399066059172,3692,259
4566,2529.91346739994,6475.53392629746,30368.4280180933,53690.5652118282,205766946.365813,23744498.3175036,229511444.683317,0.0397338642350813,0.0210686463416064,11,6,12,35,1.5,14,30,40,20,0.468149991865626,0.012243571560179,3707,161
4567,2708.44870999487,7016.64969366372,29038.5502629981,101415.501371934,220503615.399609,25194889.506875,245698504.906484,0.0410969189090202,0.0194150009179391,11,6,12,35,1.5,14,30,60,17,0.511005261156784,0.0296671452549553,4126,980
4568,2705.62503309195,6994.91251424064,28670.3826505613,104664.854028303,221011854.231078,25033723.5729306,246045577.804009,0.0410992936051793,0.0191283382766686,11,6,12,35,1.5,14,30,60,20,0.512483255399368,0.0277310561861953,4138,879
4569,1680.83477769192,7029.75759800413,62438.1416277343,26202.0025333452,189206635.868685,24542308.8917869,213748944.760472,0.0384818749841969,0.0232474334275152,11,6,12,35,1.5,17,22,40,17,0.419991445027661,0.0218276833759168,3243,564
4570,1671.41075529917,6956.41141263878,58078.8919850503,27661.3628238632,189722936.047419,24210690.5556085,213933626.603028,0.038484720376292,0.0229303085281376,11,6,12,35,1.5,17,22,40,20,0.421492882234672,0.0178439467390126,3254,366
4571,1640.27984037612,6069.24368503889,28505.6219751441,59197.5959627779,204446731.24499,24486747.1240912,228933478.369081,0.0399008018205129,0.0211931711043342,11,6,12,35,1.5,17,22,60,17,0.464310713505272,0.0211602189282891,3664,528
4572,1632.15742347501,6007.10002206934,26455.0151601984,61715.597018038,204938333.779817,24255374.5173314,229193708.297148,0.0399032276015564,0.0208984038911322,11,6,12,35,1.5,17,22,60,20,0.465740328227969,0.0183807359209643,3680,398
4573,1649.46867826177,6154.27114098808,36922.474848855,43782.8400661761,203296903.872456,23900838.3929766,227197742.265432,0.0396032447338822,0.0214891959187075,11,6,12,35,1.5,17,30,40,17,0.460966934692347,0.0141216875101471,3629,212
4574,1640.8636236496,6088.34172220221,34257.5085363785,45935.3834240627,203822296.214174,23650765.5872524,227473061.801426,0.039605960239935,0.0211859288429816,11,6,12,35,1.5,17,30,40,20,0.462494812548341,0.0111175586988827,3648,127
4575,1643.51087287843,5451.76737155857,26542.0070044864,88179.3735938246,218143925.385978,24948253.4993827,243092178.885361,0.0409381227974048,0.019568839696384,11,6,12,35,1.5,17,30,60,17,0.504143116750481,0.0267043027585178,4069,819
4576,1636.14848521843,5396.37671774539,25835.6147697123,91158.6256401761,218639121.488321,24783750.0584682,243422871.546789,0.0409404366109722,0.0192869181067531,11,6,12,35,1.5,17,30,60,20,0.505583181820081,0.0247281201625246,4080,717
4577,2334.57255587993,6057.80479424397,88495.0722575286,23723.6786441115,293136736.483943,44118823.9952568,337255560.479199,0.0470129643896005,0.0221014928111289,11,6,12,45,1.2,14,22,40,17,0.722227482161273,0.257000687798282,4810,3363
