"F15Regions","year","total_count","total_pop","rate","rate_per_100k"
"CENTRAL I",2003,8569.94287563721,825155.512219631,0.010385851816689,1038.5851816689
"CENTRAL I",2004,8613.5181005941,853021.303059445,0.0100976588388835,1009.76588388835
"CENTRAL I",2005,8665.42959556012,881391.110956124,0.00983153731396265,983.153731396265
"CENTRAL I",2006,8824.02285735805,910213.710873977,0.00969445170067293,969.445170067293
"CENTRAL I",2007,9104.52344590307,939188.604361717,0.00969403100039806,969.403100039806
"CENTRAL I",2008,9312.13834808654,968292.278902316,0.00961707384328526,961.707384328526
"CENTRAL I",2009,9393.7568223892,997851.737284798,0.00941398052575432,941.398052575432
"CENTRAL I",2010,9434.23286409326,1028131.80150849,0.00917609284164857,917.609284164857
"CENTRAL I",2011,9427.90583531412,1059301.446179,0.00890011608057501,890.011608057501
"CENTRAL I",2012,9230.72220042385,1091628.82967675,0.00845591647039704,845.591647039704
"CENTRAL I",2013,8982.15300660401,1125406.52751538,0.00798125191830401,798.125191830401
"CENTRAL I",2014,8951.28936917267,1160914.21455225,0.00771055195721336,771.055195721336
"CENTRAL I",2015,9061.0784810954,1198350.3328684,0.00756129341526243,756.129341526243
"CENTRAL I",2016,8864.35295879439,1237607.45465082,0.00716249156829405,716.249156829405
"CENTRAL I",2017,8190.73945613743,1278672.99900491,0.00640565606883984,640.565606883984
"CENTRAL I",2018,7605.99094016091,1321567.49105863,0.00575527999260045,575.527999260045
"CENTRAL II",2000,8509.3375566524,943029.776539005,0.00902340283239237,902.340283239237
"CENTRAL II",2001,8496.12187874129,975467.008959601,0.0087097993071062,870.97993071062
"CENTRAL II",2002,8475.67341463812,1009424.8992159,0.0083965369005875,839.65369005875
"CENTRAL II",2003,8450.34642649964,1044006.67276726,0.00809414982387139,809.414982387139
"CENTRAL II",2004,8403.73601076583,1079079.95205095,0.00778787150552956,778.787150552956
"CENTRAL II",2005,8362.0539984428,1114748.31935508,0.0075012932096462,750.12932096462
"CENTRAL II",2006,8457.45091988902,1150957.58189358,0.00734818646050763,734.818646050763
"CENTRAL II",2007,8676.53276262298,1187347.56312885,0.00730749195270078,730.749195270078
"CENTRAL II",2008,8841.82433257614,1223885.97429975,0.00722438570115572,722.438570115572
"CENTRAL II",2009,8973.01523049758,1260967.50088845,0.00711597660064624,711.597660064624
"CENTRAL II",2010,9100.55694571555,1298905.47657993,0.00700632733467081,700.632733467081
"CENTRAL II",2011,9229.46120950626,1337915.70381867,0.00689838768105017,689.838768105017
"CENTRAL II",2012,9180.01673226342,1378362.42216927,0.00666008923677409,666.008923677409
"CENTRAL II",2013,8932.62287176918,1420627.58587376,0.00628780051900455,628.780051900455
"CENTRAL II",2014,8593.28198430256,1465072.92452004,0.00586542952264151,586.542952264151
"CENTRAL II",2015,8282.63929085544,1511954.91710893,0.00547809937791862,547.809937791862
"CENTRAL II",2016,7795.61654005174,1561142.24727803,0.00499353377544165,499.353377544165
"CENTRAL II",2017,7031.28783647767,1612608.54949524,0.00436019506325853,436.019506325853
"CENTRAL II",2018,6531.74084595462,1666398.96462117,0.00391967409043579,391.967409043579
"ELGON",2000,2049.27854884202,400248.958698819,0.00512000969472621,512.000969472621
"ELGON",2001,2012.4026318578,413969.006707002,0.00486123984948983,486.123984948983
"ELGON",2002,1975.87345607798,428465.018703997,0.00461151638949317,461.151638949317
"ELGON",2003,1948.4121421545,443316.977287207,0.00439507675541198,439.507675541198
"ELGON",2004,1919.38531703355,458430.978758475,0.00418685779532533,418.685779532533
"ELGON",2005,1884.66091592002,473809.469105831,0.0039776767641996,397.76767641996
"ELGON",2006,1890.76408786318,489408.597914113,0.00386336508169601,386.336508169601
"ELGON",2007,1920.07492824247,505057.894083275,0.00380169273807228,380.169273807228
"ELGON",2008,1925.92168614008,520731.639902291,0.00369849177303967,369.849177303967
"ELGON",2009,1927.40193690862,536612.990837012,0.00359179142104303,359.179142104303
"ELGON",2010,1937.35664020513,552854.823103729,0.00350427736042675,350.427736042675
"ELGON",2011,1956.95954896093,569545.716703936,0.00343600081883893,343.600081883893
"ELGON",2012,1921.14301842676,586824.376992522,0.00327379552341133,327.379552341133
"ELGON",2013,1839.92671183641,604859.629814214,0.00304190695021513,304.190695021513
"ELGON",2014,1711.9440643909,623802.420097727,0.00274436906500411,274.436906500411
"ELGON",2015,1584.74360907124,643758.378796136,0.00246170560456984,246.170560456984
"ELGON",2016,1492.61590458232,664676.218130966,0.00224562856901888,224.562856901888
"ELGON",2017,1446.14942882815,686552.0070704,0.00210639458327279,210.639458327279
"ELGON",2018,1423.1514222033,709402.75014592,0.00200612617009247,200.612617009247
"GREATER KAMPALA",2000,12690.5149801699,1489378.17885257,0.00852068008002294,852.068008002294
"GREATER KAMPALA",2001,12282.9560196981,1540283.78813508,0.00797447594677977,797.447594677977
"GREATER KAMPALA",2002,11880.5484943561,1593197.94759629,0.00745704481497773,745.704481497773
"GREATER KAMPALA",2003,11490.7989197855,1646929.34238383,0.00697710498202265,697.710498202264
"GREATER KAMPALA",2004,11028.5236503565,1701387.83595216,0.00648207505502971,648.207505502971
"GREATER KAMPALA",2005,10503.0780670635,1756805.91645884,0.00597850790953299,597.850790953299
"GREATER KAMPALA",2006,10200.6949166522,1813240.00903959,0.0056256727547365,562.56727547365
"GREATER KAMPALA",2007,10071.3056183318,1870286.04119896,0.00538490123782111,538.490123782111
"GREATER KAMPALA",2008,9779.28918174931,1927803.77608161,0.00507276171106292,507.276171106292
"GREATER KAMPALA",2009,9454.57399089961,1986317.80425399,0.004759849592372,475.9849592372
"GREATER KAMPALA",2010,9167.74616083969,2046239.29055518,0.00448029035663386,448.029035663386
"GREATER KAMPALA",2011,8941.07520517983,2107819.85181777,0.00424185928293117,424.185928293117
"GREATER KAMPALA",2012,8418.28947143292,2171550.1820946,0.00387662672538975,387.662672538975
"GREATER KAMPALA",2013,7600.98066508566,2237962.7418939,0.00339638391774711,339.638391774711
"GREATER KAMPALA",2014,6789.28617553764,2307721.89931855,0.00294198628419761,294.198628419761
"GREATER KAMPALA",2015,6082.8386219155,2381343.62962277,0.00255437247537395,255.437247537395
"GREATER KAMPALA",2016,5504.98014787646,2458598.69468546,0.00223907226493535,223.907226493535
"GREATER KAMPALA",2017,4859.46959871059,2539427.3385363,0.00191360844430049,191.360844430049
"GREATER KAMPALA",2018,4333.38984657968,2623935.2959133,0.00165148502454645,165.148502454645
"KARAMOJA",2000,1351.08148356023,330054.97861887,0.00409350432832096,409.350432832096
"KARAMOJA",2001,1373.54528822753,341315.298989528,0.00402427108393307,402.427108393307
"KARAMOJA",2002,1395.04074336843,353133.808018328,0.0039504593207797,395.04593207797
"KARAMOJA",2003,1419.24592887969,365193.567874855,0.00388628402504075,388.628402504075
"KARAMOJA",2004,1446.48752233105,377428.934597497,0.00383247650017514,383.247650017514
"KARAMOJA",2005,1482.56134404998,389854.45129131,0.00380285857744937,380.285857744938
"KARAMOJA",2006,1531.87714050387,402444.451455236,0.00380643126017669,380.643126017669
"KARAMOJA",2007,1597.19341970662,415078.415140896,0.00384793176769854,384.793176769854
"KARAMOJA",2008,1653.77609670149,427756.380865035,0.00386616347687701,386.616347687701
"KARAMOJA",2009,1689.38695879776,440626.371321218,0.00383405776130043,383.405776130043
"KARAMOJA",2010,1718.22190657407,453803.987531339,0.00378626445289975,378.626445289975
"KARAMOJA",2011,1738.10329385581,467369.218874601,0.00371890835695398,371.890835695398
"KARAMOJA",2012,1754.67435876461,481448.856993801,0.00364457061902882,364.457061902882
"KARAMOJA",2013,1769.35612657406,496188.602241522,0.00356589433651041,356.589433651041
"KARAMOJA",2014,1807.39077654582,511711.488108357,0.00353205042010527,353.205042010527
"KARAMOJA",2015,1851.28376966835,528094.342821435,0.00350559288285033,350.559288285033
"KARAMOJA",2016,1832.20396127223,545296.495568842,0.0033600141870725,336.00141870725
"KARAMOJA",2017,1817.99808086006,563319.294249928,0.00322729595704824,322.729595704824
"KARAMOJA",2018,1808.12486202533,582147.04570292,0.00310595901048006,310.595901048006
"KIGEZI",2000,3165.56073928491,452365.77081385,0.00699779015903381,699.779015903381
"KIGEZI",2001,3152.77096768496,467934.258201197,0.00673763656417172,673.763656417172
"KIGEZI",2002,3134.16907671505,484269.073554717,0.00647195794211897,647.195794211897
"KIGEZI",2003,3113.45734727131,500919.040010665,0.00621549012631866,621.549012631866
"KIGEZI",2004,3088.14850594119,517798.889325926,0.0059639921398081,596.39921398081
"KIGEZI",2005,3067.64344632431,534936.293842737,0.00573459584184832,573.459584184832
"KIGEZI",2006,3093.20620755058,552338.273487437,0.00560020254982553,560.020254982553
"KIGEZI",2007,3174.55224351118,569786.564452858,0.00557147613082026,557.147613082027
"KIGEZI",2008,3270.81759527384,587264.462536033,0.00556958202638245,556.958202638245
"KIGEZI",2009,3348.06084777763,604980.165171019,0.00553416630912384,553.416630912384
"KIGEZI",2010,3422.22353913647,623104.060767287,0.00549221832212482,549.221832212482
"KIGEZI",2011,3553.02137322684,641718.855418013,0.00553672584688574,553.672584688574
"KIGEZI",2012,3709.25246762886,661011.227743886,0.00561148179023978,561.148179023979
"KIGEZI",2013,3718.08792688945,681177.36724464,0.00545832569559541,545.832569559541
"KIGEZI",2014,3566.45565766824,702376.503489388,0.00507769784431879,507.769784431879
"KIGEZI",2015,3418.45181498042,724711.046235258,0.00471698593907,471.698593907
"KIGEZI",2016,3213.69472150216,748109.873158579,0.00429575231768255,429.575231768255
"KIGEZI",2017,2808.95601360179,772584.646444475,0.00363579062375746,363.579062375746
"KIGEZI",2018,2516.94570979889,798150.600086865,0.00315347217620956,315.347217620956
"LANGO",2000,4454.81935154345,515384.911069425,0.0086436743797945,864.36743797945
"LANGO",2001,4431.68624081608,533352.876004218,0.00830910723500257,830.910723500257
"LANGO",2002,4400.86973467521,552141.832122601,0.00797054213001202,797.054213001202
"LANGO",2003,4376.44354173108,571239.853349691,0.00766130639532252,766.130639532252
"LANGO",2004,4318.30252301216,590569.845875006,0.00731209450190271,731.209450190271
