"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
3669,3050.91764825307,8271.67135355105,37202.0286024319,27246.4626690106,175384613.209563,108234274.788483,10,6,12,35,1.5,14,30,40,17,0.449466937955087,0.238373121966742,3549,2818
3670,3049.49189651184,8253.69457915094,34949.6058842842,28752.5593102882,175862945.761262,107005187.659397,10,6,12,35,1.5,14,30,40,20,0.451033783409075,0.234081135598679,3569,2769
3671,3253.73561786217,8988.08996033195,19549.6218422892,55591.5809759898,188230756.078765,95758245.6322104,10,6,12,35,1.5,14,30,60,17,0.491546283139457,0.194806684893953,3990,2342
3672,3252.74858995454,8974.98431365503,19149.5062141121,57873.1053029251,188682987.451081,94691343.2075097,10,6,12,35,1.5,14,30,60,20,0.49302763051451,0.191081049375928,4001,2305
3673,1644.98468676539,5868.42850970804,71591.986567314,17322.8333768548,162598532.225508,120051793.657197,10,6,12,35,1.5,17,22,40,17,0.407584333911098,0.279640033553869,3198,3196
3674,1639.16718778007,5811.63734266366,67447.5242385188,18024.4423819844,163058516.476778,118723740.365311,10,6,12,35,1.5,17,22,40,20,0.409091076930043,0.275002456208904,3208,3159
3675,1716.72943603516,5520.5441932488,30690.2178219306,32076.1998756092,175653189.185702,107275497.819198,10,6,12,35,1.5,17,22,60,17,0.450346696285916,0.235025061780607,3559,2778
3676,1711.82114539424,5472.96188885328,28632.6293103047,33729.8092216634,176091343.874237,106116433.867324,10,6,12,35,1.5,17,22,60,20,0.451781933506204,0.230977597151425,3577,2734
3677,1718.75858141556,5563.34707524459,42660.8967283259,23756.4273034602,174179534.344666,108863243.576058,10,6,12,35,1.5,17,30,40,17,0.445519532882086,0.240569488195242,3505,2844
3678,1713.5667521895,5512.95856752787,40141.9924821012,25063.3122598683,174646354.129227,107652017.392314,10,6,12,35,1.5,17,30,40,20,0.447048666650367,0.236339872453408,3519,2795
