"sim_id","variable","value","TB_compartment","DR_compartment","HIV_compartment","G_compartment"
32,"N_5_1_4_2",0,"5","1","4","2"
32,"N_5_2_1_1",0,"5","2","1","1"
32,"N_5_2_1_2",0,"5","2","1","2"
32,"N_5_2_2_1",0,"5","2","2","1"
32,"N_5_2_2_2",0,"5","2","2","2"
32,"N_5_2_3_1",0,"5","2","3","1"
32,"N_5_2_3_2",0,"5","2","3","2"
32,"N_5_2_4_1",0,"5","2","4","1"
32,"N_5_2_4_2",0,"5","2","4","2"
32,"N_6_1_1_1",203.617403509424,"6","1","1","1"
32,"N_6_1_1_2",206.388866313252,"6","1","1","2"
32,"N_6_1_2_1",25.5443636863125,"6","1","2","1"
32,"N_6_1_2_2",48.9032310462629,"6","1","2","2"
32,"N_6_1_3_1",17.2431966981188,"6","1","3","1"
32,"N_6_1_3_2",24.5146651839114,"6","1","3","2"
32,"N_6_1_4_1",0,"6","1","4","1"
32,"N_6_1_4_2",0,"6","1","4","2"
32,"N_6_2_1_1",7.82316972269143,"6","2","1","1"
32,"N_6_2_1_2",7.9297938208419,"6","2","1","2"
32,"N_6_2_2_1",0.976604628036647,"6","2","2","1"
32,"N_6_2_2_2",1.86913566012777,"6","2","2","2"
32,"N_6_2_3_1",0.655808262757668,"6","2","3","1"
32,"N_6_2_3_2",0.932219912736293,"6","2","3","2"
32,"N_6_2_4_1",0,"6","2","4","1"
32,"N_6_2_4_2",0,"6","2","4","2"
32,"N_7_1_1_1",822.56870091492,"7","1","1","1"
32,"N_7_1_1_2",835.899376940619,"7","1","1","2"
32,"N_7_1_2_1",62.8353114846737,"7","1","2","1"
32,"N_7_1_2_2",122.880359300908,"7","1","2","2"
32,"N_7_1_3_1",46.2513290570874,"7","1","3","1"
32,"N_7_1_3_2",66.2653592155591,"7","1","3","2"
32,"N_7_1_4_1",0,"7","1","4","1"
32,"N_7_1_4_2",0,"7","1","4","2"
32,"N_7_2_1_1",31.603635269275,"7","2","1","1"
32,"N_7_2_1_2",32.1166138886706,"7","2","1","2"
32,"N_7_2_2_1",2.40693126748803,"7","2","2","1"
32,"N_7_2_2_2",4.70598503919873,"7","2","2","2"
32,"N_7_2_3_1",1.76473552092148,"7","2","3","1"
32,"N_7_2_3_2",2.52816937476761,"7","2","3","2"
32,"N_7_2_4_1",0,"7","2","4","1"
32,"N_7_2_4_2",0,"7","2","4","2"
32,"N_8_1_1_1",0,"8","1","1","1"
32,"N_8_1_1_2",0,"8","1","1","2"
32,"N_8_1_2_1",6.89562118861108,"8","1","2","1"
32,"N_8_1_2_2",13.9098949408674,"8","1","2","2"
32,"N_8_1_3_1",4.84369567437088,"8","1","3","1"
32,"N_8_1_3_2",7.01773006592127,"8","1","3","2"
32,"N_8_1_4_1",0,"8","1","4","1"
32,"N_8_1_4_2",0,"8","1","4","2"
32,"N_8_2_1_1",0,"8","2","1","1"
32,"N_8_2_1_2",0,"8","2","1","2"
32,"N_8_2_2_1",0,"8","2","2","1"
32,"N_8_2_2_2",0,"8","2","2","2"
32,"N_8_2_3_1",0,"8","2","3","1"
32,"N_8_2_3_2",0,"8","2","3","2"
32,"N_8_2_4_1",0,"8","2","4","1"
32,"N_8_2_4_2",0,"8","2","4","2"
33,"N_1_1_1_1",9675.13559382269,"1","1","1","1"
33,"N_1_1_1_2",9747.4267736834,"1","1","1","2"
33,"N_1_1_2_1",431.640504760571,"1","1","2","1"
33,"N_1_1_2_2",817.356144735716,"1","1","2","2"
33,"N_1_1_3_1",178.304181044094,"1","1","3","1"
33,"N_1_1_3_2",253.506642975697,"1","1","3","2"
33,"N_1_1_4_1",0,"1","1","4","1"
33,"N_1_1_4_2",0,"1","1","4","2"
33,"N_1_2_1_1",0,"1","2","1","1"
33,"N_1_2_1_2",0,"1","2","1","2"
33,"N_1_2_2_1",0,"1","2","2","1"
33,"N_1_2_2_2",0,"1","2","2","2"
