"","sim_id","HIV/TB_coinfection_Female","HIV/TB_coinfection_Male","TB_only_Female","TB_only_Male","total_mse"
"66",1767,89869.8694159047,578184.260953205,2494.51404683092,11382.5062493479,681931.150665289
"67",1768,76832.8352620468,575746.154555046,14579.9817046901,55308.0367388438,722467.008260626
"68",1769,174776.60603004,782210.795272355,2609.14632077958,11253.553437866,970850.101061041
"69",1770,173135.373247196,775938.644779237,2579.48428948086,10993.6417140456,962647.14402996
"70",1771,170828.282389637,768453.875984694,2559.35452304648,10775.0600164989,952616.572913877
"71",1772,10528.9879935582,316422.338309995,10480.8205638499,36017.1698555073,373449.316722911
"72",1773,10274.5109196936,312742.015315504,10487.9940158141,36038.3453395417,369542.865590554
"73",1774,10039.5910050019,309783.89022531,10492.9483223031,36049.2813564724,366365.710909088
"74",1775,53948.8473551384,559236.484114537,10793.6861615923,37456.7550924938,661435.772723761
"75",1776,53556.8798309468,556038.02690532,10792.8313556725,37462.2346911436,657849.972783083
"76",1777,52122.8976379399,549263.655921264,10805.1102994712,37494.2177183122,649685.881576987
"77",1778,143893.340757831,807190.552447199,11098.4191961202,38832.9317260318,1001015.24412718
"78",1779,14982.587905318,280708.588991227,18676.3775158206,76281.4260230416,390648.980435407
"79",1780,75594.7223094592,570318.136202055,14591.3043185967,55370.264877386,715874.427707497
"80",1781,143247.955699938,802565.808267567,11100.0730697697,38853.844103975,995767.681141251
"81",1782,141471.789199056,795542.060103059,11107.7861463366,38885.0635058366,987006.698954287
"82",1783,38691.1901015927,458534.713763138,10825.6664190789,37621.7966910655,545673.366974875
"83",1784,37704.4803343627,453696.148788907,10833.4053211304,37648.6891480574,539882.723592457
"84",1785,36858.0277057313,449380.512055665,10837.4308123956,37664.4287048229,534740.399278614
"85",1786,122188.02524704,724344.522474535,11166.250359758,39150.3472374961,896849.14531883
"86",1787,121152.708419406,719552.050169087,11168.6118775263,39174.5186710745,891047.889137095
"87",1788,119327.305420183,712914.263055573,11176.619755494,39207.5960361595,882625.78426741
"88",1789,242843.482901345,987468.542280867,11472.3558002699,40567.3624600375,1282351.74344252
"89",1790,241340.505447512,981249.733922747,11474.8434088081,40596.0202847597,1274661.10306383
"90",1791,74437.0566911804,564917.253691108,14600.6625705165,55427.14185971,709382.114812514
"91",1792,238146.557982631,970213.550979238,11479.8500463994,40619.1567403442,1260459.11574861
"92",1793,104410.421406334,617567.098157457,11228.633576508,39435.9546855321,772642.107825832
"93",1794,102645.277642019,610767.645156213,11231.6654920629,39460.9571118373,764105.545402133
"94",1795,101553.926110939,607168.605938377,11235.772023007,39485.2185575203,759443.522629844
"95",1796,224395.524852281,902916.94980273,11560.1581903948,41006.4250567979,1179879.0579022
"96",1797,221769.488339857,893856.028984385,11563.4436956832,41036.1345914489,1168225.09561137
"97",1798,218947.066194265,885891.10445093,11572.2794739009,41076.5461900328,1157486.99630913
"98",1799,369070.997612018,1171016.50226875,11870.2349666041,42527.8459191751,1594485.58076655
"99",1800,366650.760348244,1163423.55775384,11873.6583525144,42564.5104354052,1584512.48689
"100",1801,362603.323912766,1151196.84059758,11879.3621833476,42593.934179652,1568273.46087334
"101",1802,25146.5030205964,332600.180290502,14333.159794927,54079.4438020104,426159.286908036
"102",1803,10118.5509471352,281880.934772151,3996.6977691332,14078.4500774458,310074.633565865
"103",1804,10033.3748796175,279457.099089105,3985.11621034991,13914.198067707,307389.78824678
"104",1805,9814.22139177825,275738.471571629,3977.74101404771,13792.3738337901,303322.807811245
"105",1806,40565.3226593851,507625.683358732,4174.25364604293,14167.4939342592,566532.753598419
"106",1807,39856.6155507036,503157.871892404,4164.67052898777,14016.8534891875,561196.011461283
"107",1808,39418.6984300729,499428.829355163,4149.54706882526,13881.1161489061,556878.191002967
"108",1809,116867.066610715,738642.465107772,4361.69128829637,14394.5652583986,874265.788265182
"109",1810,115975.554623818,733368.413970345,4346.7664915254,14250.9129782681,867941.648063957
"110",1811,114563.856572483,727157.567175757,4340.13477223225,14140.1179512107,860201.676471682
"111",1812,29302.4074497397,413853.637566527,4198.97448735473,14269.8614415816,461624.880945203
"112",1813,24274.3509443485,328601.066464922,14346.0087777569,54145.403488201,421366.829675228
"113",1814,28623.7277965335,410295.443649224,4183.02728352621,14112.177123649,457214.375852933
"114",1815,27639.1263414867,404910.076450993,4178.17748418143,13990.681037809,450718.06131447
"115",1816,98347.1028132405,660219.986733867,4407.68791481254,14521.0329469796,777495.8104089
"116",1817,97331.3009094864,655462.72356316,4393.25145996254,14380.7061263677,771567.982058976
"117",1818,95637.2257361012,648985.942695926,4386.29778815443,14265.1290325563,763274.595252738
"118",1819,202941.988882451,903514.872177487,4601.93814711747,14847.8102208363,1125906.60942789
"119",1820,201665.146598519,897721.735802324,4588.77003763355,14722.8566488222,1118698.5090873
"120",1821,199150.663404147,889594.772390662,4583.1735441318,14621.4511514412,1107950.06049038
"121",1822,83514.2783071876,559198.307784056,4452.87695692879,14654.0486632279,661819.5117114
"122",1823,81992.106609621,554205.970154458,4439.17178772566,14514.237341404,655151.485893209
"123",1824,23509.5847018097,325115.514255532,14347.8810163843,54189.0123890507,417161.992362777
"124",1825,80341.7750604883,547206.740488002,4431.80740427629,14401.439226438,646381.762179204
"125",1826,186746.445781639,823082.596036073,4666.1229052634,15040.5601122873,1029535.72483526
"126",1827,184743.185838708,816718.346765663,4653.89657823193,14917.9775583986,1021033.406741
"127",1828,182022.473658371,807152.635565169,4647.75596404775,14819.3508684955,1008642.21605608
