"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"27",27,11012.3461421058,51566.5675354026,396437.285034343,166774.573360848,625790.772072699,176713083.554902,26097986.7437957,202811070.298698,0.0358827959587168,0.0201309453784989,6,6,8,35,1.5,17,22,60,17
"28",28,11013.9513652058,51584.4453079328,392148.257080283,164944.1427969,619690.796550321,176928296.429446,25896596.9489102,202824893.378356,0.0358873942530126,0.0199965077567945,6,6,8,35,1.5,17,22,60,20
"29",29,11025.8584357944,51627.4388619908,439944.199333569,178902.760783317,681500.257414671,176606458.894621,26596595.1485366,203203054.043158,0.0358038204131547,0.0203069095779868,6,6,8,35,1.5,17,30,40,17
"30",30,11027.5929559255,51646.3433225052,435298.046440518,176901.222605693,674873.205324642,176831910.557258,26386269.5994779,203218180.156736,0.0358089821127028,0.0201701721740606,6,6,8,35,1.5,17,30,40,20
"31",31,11287.0279754017,53144.8651866798,342661.759074309,140973.555856752,548067.208093142,182943124.084798,23936917.7080835,206880041.792881,0.0363600938738365,0.0195377253698142,6,6,8,35,1.5,17,30,60,17
"32",32,11288.7789751493,53163.4266542803,338852.975513628,139373.273216526,542678.454359584,183156165.949059,23755200.3855636,206911366.334623,0.0363646406825478,0.0195377253698142,6,6,8,35,1.5,17,30,60,20
"33",33,14128.5489545416,66604.0466306053,547063.914221758,238526.163101099,866322.672908004,283364821.26899,22988005.8545014,306352827.123491,0.0439618259371966,0.0204708080385181,6,6,8,45,1.2,14,22,40,17
"34",34,14130.6984329139,66623.6653958591,541999.756733365,236278.515475315,859032.636037454,283656348.60838,22959755.5649599,306616104.17334,0.0439663243462795,0.0204708080385181,6,6,8,45,1.2,14,22,40,20
"35",35,14371.4819598317,67967.283098194,444551.776473833,196828.082667432,723718.624199291,290361339.915929,24541770.9197542,314903110.835683,0.0444688567454381,0.0204955251648739,6,6,8,45,1.2,14,22,60,17
"36",36,14373.5513291922,67986.0962326611,440274.684685889,194960.963292542,717595.295540284,290635598.988783,24526923.8361176,315162522.824901,0.0444727700364064,0.0204955251648739,6,6,8,45,1.2,14,22,60,20
"37",37,14432.1638302087,68269.7845491522,477122.789904086,203300.517288431,763125.255571877,291782713.263199,24080874.6367467,315863587.899946,0.0445244466978541,0.020404245022795,6,6,8,45,1.2,14,30,40,17
"38",38,14434.3806670594,68289.6416903868,472588.453503873,201316.255864677,756628.731725997,292068171.803023,24065551.2885272,316133723.09155,0.0445288150301495,0.020404245022795,6,6,8,45,1.2,14,30,40,20
"39",39,14674.1319429239,69622.5942745037,385841.934155293,167518.453018837,637657.113391558,297582652.431063,25567889.4341988,323150541.865262,0.0449181620218616,0.020428839980947,6,6,8,45,1.2,14,30,60,17
"40",40,14676.2756360801,69641.7008458594,382014.763929422,165869.816807421,632202.557218783,297851113.680051,25562985.2160128,323414098.896063,0.0449220252883571,0.020428839980947,6,6,8,45,1.2,14,30,60,20
"41",41,10657.6615152958,50460.5118895581,560295.841047784,245859.264232476,867273.278685114,282675860.850882,22829423.3381233,305505284.189005,0.0439240154478374,0.0203802101998653,6,6,8,45,1.2,17,22,40,17
"42",42,10659.0885509224,50477.3272021384,555255.822854138,243616.20284276,860008.441449958,282961112.039183,22801069.636942,305762181.676125,0.0439284169123331,0.0203802101998653,6,6,8,45,1.2,17,22,40,20
"43",43,10893.7133314597,51802.004531515,458427.119380385,204240.641741592,725363.478984952,289530543.060937,24337882.9223686,313868425.983305,0.0444222566351466,0.0204043665616553,6,6,8,45,1.2,17,22,60,17
"44",44,10895.1362660457,51818.390706571,454153.586750046,202368.845083091,719235.958805754,289798830.167631,24322476.5576222,314121306.725253,0.0444260860539831,0.0204043665616553,6,6,8,45,1.2,17,22,60,20
"45",45,10951.3332864028,52094.7709855015,490850.163964978,210732.724676648,764628.992913531,290895031.126602,23881454.7211691,314776485.847771,0.0444740901047181,0.0203133664111075,6,6,8,45,1.2,17,30,40,17
"46",46,10952.8950135429,52112.1850793922,486325.326039003,208746.137556192,758136.54368813,291174179.987804,23865552.2966746,315039732.284479,0.0444783644525814,0.0203133664111075,6,6,8,45,1.2,17,30,40,20
"47",47,11187.9367524425,53434.7861918909,399894.188171432,174863.767062039,639380.678177805,296558296.178354,25318079.911712,321876376.090066,0.0448594177753904,0.0203374037702516,6,6,8,45,1.2,17,30,60,17
"48",48,11189.4938032041,53451.7839768104,396058.278729977,173204.902559372,633904.459069363,296820792.764118,25312225.750855,322133018.514973,0.0448631987465515,0.0203374037702516,6,6,8,45,1.2,17,30,60,20
