"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
98,23702.2900559984,98390.8382459334,1089333.28938738,500608.98286675,422565633.180102,50133349.6621125,6,6,12,45,1.2,14,22,40,20,0.932434200239172,0.278808774174343,122,71
99,24147.0460172998,101118.506612004,949233.512982018,444138.411505263,430051913.165826,53956893.1516567,6,6,12,45,1.2,14,22,60,17,0.95425987332868,0.335622446652824,127,85
100,24151.0693296109,101151.718042722,938912.138747261,440157.082392386,430540400.473717,54009338.7301345,6,6,12,45,1.2,14,22,60,20,0.95568402047663,0.336401730562301,129,86
101,24191.9628808569,101326.68956832,1000899.45666044,447135.464949648,434595527.730946,53694697.7409239,6,6,12,45,1.2,14,30,40,17,0.967506431877407,0.331726509747316,137,78
102,24196.2005011237,101361.655680196,990159.516736576,442889.19969296,435109747.172052,53755753.1038626,6,6,12,45,1.2,14,30,40,20,0.969005599079175,0.33263372563293,138,80
103,24635.0515268644,104015.951939588,862714.748353803,394432.336441902,443153966.513417,57713961.5807504,6,6,12,45,1.2,14,30,60,17,0.992457901416218,0.391448372470977,145,93
104,24639.0742486428,104049.544384836,853292.319010948,390926.622980955,443625702.341473,57785575.8043749,6,6,12,45,1.2,14,30,60,20,0.993833210914044,0.392512481472726,146,94
105,19026.038590436,75622.481725043,1122493.43262546,518954.555958962,421167631.29982,49915183.9487825,6,6,12,45,1.2,17,22,40,17,0.928358433359527,0.275567070394312,119,65
106,19029.4259770893,75648.0101644569,1110858.63368261,514160.028992264,421689474.635756,49955497.9415276,6,6,12,45,1.2,17,22,40,20,0.929879827439871,0.276166092214355,120,67
107,19488.7175699488,78289.6307156864,970425.307222231,457424.784638045,430070997.74662,53687230.0100435,6,6,12,45,1.2,17,22,60,17,0.954315512955071,0.33161554743773,128,77
108,19492.0161012507,78315.1343320108,960222.892950704,453458.905709585,430550179.071434,53741024.3394642,6,6,12,45,1.2,17,22,60,20,0.955712529225627,0.332414872310395,130,79
109,19534.3318581035,78543.952574309,1023461.53161062,461023.22609505,433415605.734667,53432746.0543144,6,6,12,45,1.2,17,30,40,17,0.96406646011426,0.327834194315593,135,73
110,19537.8517626812,78571.1079845692,1012813.68745619,456782.882950632,433919197.089869,53491178.2042484,6,6,12,45,1.2,17,30,40,20,0.965534641949605,0.328702432126314,136,74
111,19994.5621907104,81217.3216809723,886308.549771183,408320.223532063,441780880.020458,57345101.7195927,6,6,12,45,1.2,17,30,60,17,0.98845477343061,0.385967518545926,143,89
112,19999.3835786443,81254.5117986903,877145.147769806,404930.860482166,442451608.748425,57428756.1428526,6,6,12,45,1.2,17,30,60,20,0.990410231411912,0.387210531739698,144,90
113,23696.4493989697,98350.1182852418,1101377.04174764,505745.654105192,424092117.40707,50124794.93269,6,6,12,45,1.5,14,22,40,17,0.936884547511464,0.278681660255831,125,70
114,23700.6446227032,98384.3766391302,1089621.99760515,500924.19953573,424629500.107929,50176398.4742934,6,6,12,45,1.5,14,22,40,20,0.938451245414198,0.279448432418722,126,72
115,24145.5305756072,101112.228857493,949613.652461951,444504.027352532,432128861.747971,54048019.4818943,6,6,12,45,1.5,14,22,60,17,0.960315057059996,0.336976484208417,131,87
116,24149.5529309524,101145.436172877,939285.100068647,440513.686311471,432621787.302694,54109270.9493388,6,6,12,45,1.5,14,22,60,20,0.961752143574975,0.337886613992408,133,88
117,24190.297875579,101320.014978618,1001175.27407369,447431.961490235,436688045.221161,53794225.4941486,6,6,12,45,1.5,14,30,40,17,0.973607005561882,0.333205383255539,141,82
118,24194.5345248661,101354.97724267,990429.850076634,443177.796376261,437206810.452949,53864341.3973557,6,6,12,45,1.5,14,30,40,20,0.9751194256665,0.334247228855369,142,84
119,24633.4984508129,104009.388304816,863065.085284779,394761.220696056,445265060.279164,57878711.1440916,6,6,12,45,1.5,14,30,60,17,0.998612632802213,0.393896370710891,149,95
120,24637.5202751502,104042.97670749,853635.954352428,391247.267207175,445740931.939252,57958720.5328172,6,6,12,45,1.5,14,30,60,20,1,0.395085222679933,150,96
121,19024.6099410489,75616.9234722633,1122785.80529134,519278.55688353,423224232.004021,49947107.7418066,6,6,12,45,1.5,17,22,40,17,0.934354294418844,0.276041423027178,123,66
122,19027.9941525327,75642.4374705266,1111145.44191847,514475.718245056,423750854.836597,49996744.8361345,6,6,12,45,1.5,17,22,40,20,0.93588962275377,0.27677897593527,124,68
123,19487.3789895686,78284.0952941365,970798.792831379,457788.664249442,432148638.468892,53788516.6956253,6,6,12,45,1.5,17,22,60,17,0.960372714567652,0.333120556756131,132,81
124,19490.6746842981,78309.5855092093,960589.533216688,453814.145636296,432632165.112586,53850943.4544657,6,6,12,45,1.5,17,22,60,20,0.961782399280951,0.334048150084245,134,83
