"","sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort"
"2036",2036,7685.89080869952,33693.0432668797,199321.784068547,83107.8348669908,323808.553011117,733784492.023464,238107666.251274,971892158.274738,0.0675553010241291,0.0422989312405416,8,7,12,45,1.5,14,22,60,20
"2037",2037,7725.29125943096,33881.4014051506,241449.724180574,92321.7013557962,375378.118200952,736796215.753905,236601725.82594,973397941.579845,0.0677264214126281,0.0421894139425912,8,7,12,45,1.5,14,30,40,17
"2038",2038,7724.6514072621,33884.7128526678,238936.469040989,91444.320349216,371990.153650135,737224164.79857,237029025.791998,974253190.590568,0.0677399738010799,0.0422131889139485,8,7,12,45,1.5,14,30,40,20
"2039",2039,7966.15446840522,35315.9224693011,153505.043586407,63123.951699945,259911.072224059,750239573.386395,250183784.898144,1000423358.28454,0.0683332618111364,0.0433812988124138,8,7,12,45,1.5,14,30,60,17
"2040",2040,7965.6872935594,35319.9520704791,151807.520301944,62565.2065873804,257658.366253363,750638543.981281,250597057.98592,1001235601.9672,0.0683453791427811,0.0434030363370128,8,7,12,45,1.5,14,30,60,20
"2041",2041,4854.60680389769,19736.0026553479,322815.647355922,129618.346813253,477024.603628421,716958365.750979,223093089.912233,940051455.663212,0.0668542683306914,0.0410314566350909,8,7,12,45,1.5,17,22,40,17
"2042",2042,4852.0822683464,19730.0223354153,319661.333223396,128478.881073142,472722.3189003,717390133.890944,223512310.916699,940902444.807643,0.066868113338393,0.0410555470397654,8,7,12,45,1.5,17,22,40,20
"2043",2043,4998.84044389359,20733.1200144615,215433.714300368,90221.3398039533,331387.014562676,731991029.539198,237371833.100113,969362862.63931,0.067520894034337,0.0423280408740698,8,7,12,45,1.5,17,22,60,17
"2044",2044,4996.65485579558,20728.8039348797,213177.902712774,89440.5001981597,328343.861701609,732394032.189788,237777912.755964,970171944.945752,0.0675332117059142,0.0423499616964377,8,7,12,45,1.5,17,22,60,20
"2045",2045,5028.70334399981,20890.2902514722,255993.675601149,99008.3723791837,380921.041575805,734507230.385141,235916369.075525,970423599.460666,0.0676815329409986,0.0421940851911782,8,7,12,45,1.5,17,30,40,17
"2046",2046,5026.4925083888,20886.0757892785,253431.69334857,98106.0593314658,377450.320977703,734923051.724094,236332806.952831,971255858.676926,0.0676947325432758,0.0422172398273343,8,7,12,45,1.5,17,30,40,20
"2047",2047,5193.29243619642,21988.1241522586,167011.360622173,68832.7103646126,263025.48757524,748529057.894782,248965577.717948,997494635.61273,0.0682667166625948,0.0433353319646633,8,7,12,45,1.5,17,30,60,17
"2048",2048,5191.39357886842,21985.4050942638,165222.258940163,68234.1742290348,260633.23184233,748918953.789554,249368795.003333,998287748.792887,0.0682785088326543,0.0433564714373875,8,7,12,45,1.5,17,30,60,20
"2049",2049,5438.54255883118,20297.6136243349,96024.7611077427,19749.1290160836,141510.046306992,239080439.077324,11522829.2075087,250603268.284833,0.0406261026240154,0.0194748689551459,8,8,8,35,1.2,14,22,40,17
"2050",2050,5435.3720803936,20285.3990643286,95267.2811364926,20031.7743297327,141019.826610948,239467634.646575,11478278.696044,250945913.342619,0.0406424684167028,0.0194748689551459,8,8,8,35,1.2,14,22,40,20
"2051",2051,5602.89985065506,21284.6377452855,32798.820592088,19221.1979192346,78907.5561072632,254098096.239307,12143473.5815787,266241569.820886,0.0418183992904286,0.0193949438662285,8,8,8,35,1.2,14,22,60,17
"2052",2052,5600.21123721753,21275.4044433945,33647.3641957814,20141.6077433944,80664.5876197878,254462768.752761,12140323.5350532,266603092.287815,0.0418327433035379,0.0193949438662285,8,8,8,35,1.2,14,22,60,20
"2053",2053,5620.57507148963,21341.5381921224,58216.7665650722,16697.4804283809,101876.360257065,254052873.100556,11863505.5803773,265916378.680934,0.0418603685891213,0.0194099629637152,8,8,8,35,1.2,14,30,40,17
"2054",2054,5617.76870164531,21331.7809845506,58402.8158690061,17344.0637446209,102696.429299823,254433669.507802,11853049.8069563,266286719.314759,0.0418758894433993,0.0194099629637152,8,8,8,35,1.2,14,30,40,20
"2055",2055,5812.56632504857,22503.3185335261,22410.7935988444,29637.8786435074,80364.5571009265,269190538.055776,13541764.8577759,282732302.913552,0.0429569519380483,0.0193004724604693,8,8,8,35,1.2,14,30,60,17
"2056",2056,5810.20902708251,22496.2799710491,23964.9728328002,30804.3451500132,83075.8069809451,269547686.245508,13564909.6095859,283112595.855094,0.0429705816294473,0.0193004724604693,8,8,8,35,1.2,14,30,60,20
"2057",2057,3917.86187510032,13311.2185058855,106545.51547792,22007.540022103,145782.135881008,238041296.204285,11262648.2906571,249303944.494942,0.0405386004246408,0.0192477689800373,8,8,8,35,1.2,17,22,40,17
"2058",2058,3911.45912025831,13280.9571808573,105600.806934247,22191.2794687341,144984.502704097,238420349.746647,11217388.1978946,249637737.944542,0.0405546407172337,0.0192477689800373,8,8,8,35,1.2,17,22,40,20
"2059",2059,3886.97712511121,13300.0653723578,38463.3740500544,17883.1760628509,73533.5926103743,252762191.129905,11866373.8472876,264628564.977192,0.041707768374559,0.0192128798755502,8,8,8,35,1.2,17,22,60,17
"2060",2060,3881.37854287883,13274.8307248185,39082.2313338504,18690.4127557472,74928.8533572949,253118892.395741,11861139.233868,264980031.629609,0.0417218254735745,0.0192128798755502,8,8,8,35,1.2,17,22,60,20
"2061",2061,3914.52446017512,13429.4441068789,66153.6678451977,16684.2833442213,100181.919756473,252273479.994395,11615888.9307278,263889368.925123,0.0417407155080304,0.019182492807651,8,8,8,35,1.2,17,30,40,17
"2062",2062,3908.67401637704,13402.9186925868,66127.8821527796,17223.6696897016,100663.144551445,252646018.416957,11603302.6322596,264249321.049217,0.0417559321662742,0.019182492807651,8,8,8,35,1.2,17,30,40,20
"2063",2063,3923.88806702892,13645.5564597358,24748.1191966272,25798.2015783044,68115.7653016963,266813425.451975,13094900.3598012,279908325.811776,0.0428062010440248,0.0193203718231977,8,8,8,35,1.2,17,30,60,17
"2064",2064,3918.78957558601,13623.645825996,26049.9354916645,26845.6369318957,70438.0078251422,267163160.847181,13114550.8808695,280277711.728051,0.0428195977585871,0.0193203718231977,8,8,8,35,1.2,17,30,60,20
"2065",2065,5440.24280054193,20299.5111357224,96036.2038053945,19715.7109099242,141491.668651583,240365196.728803,11378286.9050532,251743483.633857,0.0406713273686182,0.0194748689551459,8,8,8,35,1.5,14,22,40,17
"2066",2066,5437.06559130082,20287.2857337072,95271.2253874281,19992.6669963587,140988.243708795,240754955.315118,11341759.1057669,252096714.420885,0.0406876644716156,0.0194748689551459,8,8,8,35,1.5,14,22,40,20
"2067",2067,5604.38146772972,21286.1520091489,32762.7916904464,19119.4285405724,78772.7537078974,255420326.06023,12125260.82391,267545586.88414,0.041862962219868,0.0193949438662285,8,8,8,35,1.5,14,22,60,17
"2068",2068,5601.68696381021,21276.9087927112,33602.0262020065,20033.2343296627,80513.8562881907,255787306.257767,12129410.8238952,267916717.081662,0.0418772801299032,0.0193949438662285,8,8,8,35,1.5,14,22,60,20
"2069",2069,5622.06245591351,21343.0381166725,58203.8723955051,16634.6633188038,101803.636286895,255377767.53272,11820354.1720854,267198121.704806,0.0419050745510389,0.0194099629637152,8,8,8,35,1.5,14,30,40,17
"2070",2070,5619.24984955975,21333.2709128402,58382.0418148674,17275.4301838342,102609.992761101,255760909.555492,11817458.3203278,267578367.87582,0.0419205686243036,0.0194099629637152,8,8,8,35,1.5,14,30,40,20
"2071",2071,5813.84797583835,22504.434742824,22347.4352903052,29505.6412867046,80171.3592956721,270550781.461067,13611682.4701113,284162463.931178,0.0430050606921389,0.0193004724604693,8,8,8,35,1.5,14,30,60,17
"2072",2072,5811.48509145996,22497.3868641026,23892.1947970392,30665.5121432398,82866.5788958415,270909964.030907,13641746.7575209,284551710.788428,0.0430246036157587,0.0193004724604693,8,8,8,35,1.5,14,30,60,20
"2073",2073,3921.25886954799,13316.0994529185,106561.852606011,21981.1083529825,145780.31928146,239322503.751376,11113745.0981848,250436248.849561,0.040583866874895,0.0192477689800373,8,8,8,35,1.5,17,22,40,17
"2074",2074,3914.84641939233,13285.823736663,105609.945071372,22159.3613983097,144969.976625737,239704116.421353,11076369.5486176,250780485.96997,0.0405998790472425,0.0192477689800373,8,8,8,35,1.5,17,22,40,20
"2075",2075,3890.02681277414,13304.3545011731,38435.0532598638,17791.6563255179,73421.090899329,254080330.562163,11841399.645738,265921730.207901,0.0417523821657708,0.0192128798755502,8,8,8,35,1.5,17,22,60,17
"2076",2076,3884.4196338644,13279.1079777077,39044.9481072222,18592.5196457485,74800.9953645428,254439267.077384,11843351.1107314,266282618.188115,0.0417664136554574,0.0192128798755502,8,8,8,35,1.5,17,22,60,20
"2077",2077,3917.57884635762,13433.657679766,66146.5596617704,16629.5801384945,100127.376326389,253594010.644321,11565655.1761419,265159665.820463,0.0417854727095182,0.019182492807651,8,8,8,35,1.5,17,30,40,17
"2078",2078,3911.71952242266,13407.1189756646,66113.2007379869,17163.3523644919,100595.391600566,253968919.366591,11560492.921776,265529412.288367,0.0418006630667866,0.019182492807651,8,8,8,35,1.5,17,30,40,20
"2079",2079,3926.63602966094,13649.254346111,24693.4942393096,25677.2989572858,67946.6835723674,268171433.326648,13154662.0084979,281326095.335146,0.0428506588139777,0.0193203718231977,8,8,8,35,1.5,17,30,60,17
"2080",2080,3921.52966871681,13627.3323006897,25986.2342074796,26718.3472971668,70253.4434740529,268523261.847373,13181114.0031252,281704375.850498,0.0428677616648739,0.0193203718231977,8,8,8,35,1.5,17,30,60,20
"2081",2081,5397.44221890932,20627.6272171602,145113.861549536,37631.4259919189,208770.356977525,369865617.98151,44556387.0322711,414422005.013781,0.0491771498317274,0.0202672926057924,8,8,8,45,1.2,14,22,40,17
"2082",2082,5394.61651203645,20618.0948889317,143449.560018855,37350.7953463719,206813.066766195,370298013.500884,44751292.2407177,415049305.741602,0.0491907439529223,0.0202672926057924,8,8,8,45,1.2,14,22,40,20
"2083",2083,5557.67302901858,21593.8497329436,65151.8051565391,21218.3803499053,113521.708268407,383940092.072574,51750544.4987846,435690636.571358,0.0500660502580222,0.0210694197833259,8,8,8,45,1.2,14,22,60,17
"2084",2084,5555.22337988149,21586.4740408142,64849.4329809938,21484.3317381277,113475.462139817,384345473.216851,51956966.4520615,436302439.668912,0.0500834268005848,0.0210985055530603,8,8,8,45,1.2,14,22,60,20
"2085",2085,5597.548750798,21800.2517858069,94078.9471500178,23569.9118147754,145046.659501398,387647533.126038,51123924.1943968,438771457.320435,0.0503292503839679,0.0209006223746434,8,8,8,45,1.2,14,30,40,17
"2086",2086,5595.05114532024,21792.8918938249,93288.2787041445,23636.26717783,144312.48892112,388070685.160125,51335868.0744075,439406553.234533,0.050347991069711,0.0209315442340961,8,8,8,45,1.2,14,30,40,20
"2087",2087,5776.68728305152,22897.1628074367,39406.0329275382,19931.1391172671,88011.0221352935,400944895.055698,58803370.2747826,459748265.330481,0.0511530624806691,0.0224422988149663,8,8,8,45,1.2,14,30,60,17
"2088",2088,5774.5516466102,22891.819044047,39780.4249981834,20450.4182065084,88897.213895349,401340518.733024,59023534.1834233,460364052.916448,0.0511696630910873,0.0224703217205385,8,8,8,45,1.2,14,30,60,20
"2089",2089,3818.65954551995,12969.6452379395,157435.375741146,41887.7544142245,216111.43493883,368412846.707216,44012883.3653333,412425730.07255,0.0491017130410466,0.0200431213712059,8,8,8,45,1.2,17,22,40,17
"2090",2090,3812.91934585371,12944.4679865639,155630.024149479,41533.5827266326,213920.994208529,368836323.91789,44203021.6878041,413039345.605694,0.0491150279098986,0.0200431213712059,8,8,8,45,1.2,17,22,40,20
"2091",2091,3809.61838446459,13122.0413372945,74325.8977547,23002.6584983213,114260.21597478,382513355.429546,51423317.6200799,433936673.049625,0.0499722850836793,0.0209854280700756,8,8,8,45,1.2,17,22,60,17
"2092",2092,3804.53328613294,13100.6930652105,73832.1730377885,23178.892682326,113916.292071458,382910529.843842,51625393.1451423,434535922.988984,0.0499893037561313,0.0210138970432132,8,8,8,45,1.2,17,22,60,20
