"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
4533,12917.0110703055,40982.891482746,421825.644905739,114384.677378092,198976266.263702,37965491.1066963,11,6,8,45,1.5,14,30,40,17,0.221582314834456,0.11630314149377,2119,2487
4534,12917.907695241,40976.2151518905,410958.554307827,112363.774083352,199485847.707732,37522196.3209158,11,6,8,45,1.5,14,30,40,20,0.222755587131351,0.109849869979962,2137,2403
4535,13455.8890323045,43586.9888352303,296995.609957804,91640.2849558016,209418977.46784,36202100.8999554,11,6,8,45,1.5,14,30,60,17,0.245625858616947,0.0906325580492695,2448,2134
4536,13457.0041701927,43584.4415485575,288405.723184875,90783.936712297,209892023.794642,35837560.9151684,11,6,8,45,1.5,14,30,60,20,0.246715011601003,0.0853257609135263,2464,2038
4537,8347.92740432935,24305.2794793493,552571.978706291,165596.913616253,184638165.435577,41472693.2429144,11,6,8,45,1.5,17,22,40,17,0.188569934401857,0.167359297272766,1682,2948
4538,8344.44137680807,24252.2167418331,539705.93600743,162387.685556198,185129484.441123,40953548.2525399,11,6,8,45,1.5,17,22,40,20,0.189701158831039,0.159801835093232,1695,2887
4539,8806.28095366781,25940.4979642108,399756.768030095,125827.552868508,193724906.04334,39324046.1033249,11,6,8,45,1.5,17,22,60,17,0.209491459604651,0.136080329362673,1945,2687
4540,8803.48125676713,25896.5386912182,389377.4847035,124004.160793027,194182046.421483,38882137.2736633,11,6,8,45,1.5,17,22,60,20,0.210543990358568,0.129647233929046,1958,2622
4541,8886.89671034651,26157.9922562333,449592.980685892,124684.535733075,198144430.920852,38302655.7396636,11,6,8,45,1.5,17,30,40,17,0.219667077584795,0.121211421471756,2091,2535
4542,8884.23001983803,26114.1277496069,438615.944596243,122470.237635488,198639798.236937,37864173.0097512,11,6,8,45,1.5,17,30,40,20,0.220807622939336,0.114828201544504,2109,2468
4543,9328.46010217514,27922.3695573148,321205.991004624,98696.0230812642,207557499.495966,36401035.4887528,11,6,8,45,1.5,17,30,60,17,0.241339947971523,0.0935285517676199,2394,2169
4544,9326.4128108275,27886.9768449993,312463.138317185,97633.000785955,208016800.39215,36041993.7097687,11,6,8,45,1.5,17,30,60,20,0.242397453152971,0.0883017948579806,2410,2092
4545,12494.5615942661,38439.2214601514,519606.8009791,170405.410279116,318873493.753207,31276478.0379719,11,6,12,35,1.2,14,22,40,17,0.497636510166483,0.0189277180136775,3219,466
4546,12495.0440786751,38428.1285639381,507203.291343692,167128.422615326,319618726.733794,31014762.9333804,11,6,12,35,1.2,14,22,40,20,0.499352352101268,0.0151177958504375,3234,311
4547,13035.8508309383,41054.4464022842,358455.111277579,126384.947451085,335067944.730108,32112806.4107402,11,6,12,35,1.2,14,22,60,17,0.534922994824053,0.0311025827702598,3553,806
4548,13045.4311983413,41079.2810627975,349657.912728856,124724.161173527,335506270.095498,31958136.2162393,11,6,12,35,1.2,14,22,60,20,0.53593220545027,0.0288509687377351,3567,751
4549,13072.5833339981,41113.240148956,423297.239579493,131792.791114223,336883413.129317,31206144.9480818,11,6,12,35,1.2,14,30,40,17,0.539102971947695,0.0179038428407115,3607,427
4550,13073.5240343209,41107.5356592796,412681.061086569,129397.507099806,337617652.245166,31017039.9614222,11,6,12,35,1.2,14,30,40,20,0.540793501349843,0.0151509437255527,3625,312
4551,13637.5736892011,43899.7709978592,290258.614315897,102276.368643231,351835045.76912,32930012.2235327,11,6,12,35,1.2,14,30,60,17,0.573527962447514,0.042999070529138,3989,1075
4552,13638.7684316766,43898.5088865305,281967.522069331,101005.401550181,352506841.640714,32808891.6234391,11,6,12,35,1.2,14,30,60,20,0.575074721056061,0.0412358552976689,4003,1036
4553,8518.13643914264,24355.663258678,545883.564948351,183053.908985524,317300893.028216,31180692.2308424,11,6,12,35,1.2,17,22,40,17,0.494015717285732,0.0175333144691203,3200,414
4554,8514.98230144717,24306.0891216221,533436.297430874,179644.046012207,318028791.843245,30920901.5944448,11,6,12,35,1.2,17,22,40,20,0.495691648630211,0.0137514077849102,3208,265
