measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1998,394.4348104,525.6800443,225.465984
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1998,75.39180583,126.4319388,29.60548363
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1998,474.146221,613.8472091,287.9886735
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1998,77.76508364,113.5941507,42.70705193
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1998,398.8447277,508.3079663,250.0312388
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1998,66.25863324,92.67385304,43.40085881
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1998,411.176436,520.6001698,259.5816917
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1998,104.3012766,131.5195189,79.95459164
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,2000,85.02948563,116.2510485,47.72895766
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,2000,54.4296879,106.0612717,1.520911394
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,2000,226.894626,307.0445786,128.5070521
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,2000,140.5296861,255.9664082,26.19427047
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,2000,409.6710913,551.5231298,231.5332628
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,2000,308.4049688,528.1126332,98.72860924
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,2000,461.534882,628.0528422,258.2735936
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,2000,274.6937675,405.5935399,160.7873532
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,2000,393.8582569,599.2797605,173.5767357
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,2000,178.6557642,305.6998518,51.26272436
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,2000,347.7816797,518.987921,154.2305814
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,2000,88.0698159,165.094433,11.94639528
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,2000,409.3758985,555.2629535,227.2789314
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,2000,51.68436469,104.22461,2.181309742
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,2000,429.4045638,550.6314874,262.326327
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,2000,77.14383303,114.4658183,42.77275301
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,2000,356.8629714,451.4422882,221.4991338
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,2000,94.30915127,120.8480801,69.31584258
Deaths,KwaZulu-Natal,Male,15-19 years,Drug-susceptible tuberculosis,Number,1997,47.79451992,70.28868338,25.09269115
Deaths,KwaZulu-Natal,Female,15-19 years,Drug-susceptible tuberculosis,Number,1997,21.61639983,50.01892657,0.658479174
Deaths,KwaZulu-Natal,Male,20-24 years,Drug-susceptible tuberculosis,Number,1997,169.8077373,242.0508936,92.54429441
Deaths,KwaZulu-Natal,Female,20-24 years,Drug-susceptible tuberculosis,Number,1997,71.6682505,127.7765449,11.3998936
Deaths,KwaZulu-Natal,Male,25-29 years,Drug-susceptible tuberculosis,Number,1997,236.653264,330.1379686,134.8769965
Deaths,KwaZulu-Natal,Female,25-29 years,Drug-susceptible tuberculosis,Number,1997,118.6122498,221.3560524,27.78641086
Deaths,KwaZulu-Natal,Male,30-34 years,Drug-susceptible tuberculosis,Number,1997,255.5643406,358.2505909,140.9526852
Deaths,KwaZulu-Natal,Female,30-34 years,Drug-susceptible tuberculosis,Number,1997,103.2756085,172.9775956,51.0821186
Deaths,KwaZulu-Natal,Male,35-39 years,Drug-susceptible tuberculosis,Number,1997,252.7073285,361.3209018,133.871688
Deaths,KwaZulu-Natal,Female,35-39 years,Drug-susceptible tuberculosis,Number,1997,94.92662094,154.1487886,39.92680987
Deaths,KwaZulu-Natal,Male,40-44 years,Drug-susceptible tuberculosis,Number,1997,322.474259,439.9390177,186.5458646
Deaths,KwaZulu-Natal,Female,40-44 years,Drug-susceptible tuberculosis,Number,1997,68.41399591,108.551455,34.72461164
Deaths,KwaZulu-Natal,Male,45-49 years,Drug-susceptible tuberculosis,Number,1997,391.1750941,506.5029136,236.7366476
Deaths,KwaZulu-Natal,Female,45-49 years,Drug-susceptible tuberculosis,Number,1997,75.48417703,106.3927398,48.93562712
Deaths,KwaZulu-Natal,Male,50-54 years,Drug-susceptible tuberculosis,Number,1997,310.758353,407.1812093,190.8910565
Deaths,KwaZulu-Natal,Female,50-54 years,Drug-susceptible tuberculosis,Number,1997,62.5921104,87.10548171,43.22257725
Deaths,KwaZulu-Natal,Male,55-59 years,Drug-susceptible tuberculosis,Number,1997,346.2130492,444.7115737,215.0057554
Deaths,KwaZulu-Natal,Female,55-59 years,Drug-susceptible tuberculosis,Number,1997,98.83194706,127.9094137,73.90535388
