measure,location,sex_id,age_id,cause,metric,year,val,upper,lower
1,485,1,16,294,3,1999,3506.623616,3862.992404,3221.032334
1,485,2,16,294,3,1999,1734.831435,2058.896007,1506.543753
1,485,1,8,294,3,2001,238.2824685,257.9673888,223.6460642
1,485,2,8,294,3,2001,251.3012576,361.4869412,191.3374179
1,485,1,9,294,3,2001,650.4381084,740.3438309,594.9236911
1,485,2,9,294,3,2001,937.5176652,1313.023917,682.8259097
1,485,1,10,294,3,2001,1567.240639,1867.994312,1397.93229
1,485,2,10,294,3,2001,1882.575538,2494.889101,1438.067254
1,485,1,11,294,3,2001,2415.960698,2952.405848,2050.784167
1,485,2,11,294,3,2001,2127.980187,2815.440752,1634.885548
1,485,1,12,294,3,2001,2720.516604,3602.220689,2173.108515
1,485,2,12,294,3,2001,1825.739785,2499.607958,1368.717623
1,485,1,13,294,3,2001,2668.912523,3449.717148,2120.689933
1,485,2,13,294,3,2001,1590.251592,2155.079148,1163.553501
1,485,1,14,294,3,2001,2797.323634,3469.285302,2319.00018
1,485,2,14,294,3,2001,1535.367965,2122.286934,1087.664132
1,485,1,15,294,3,2001,3238.046139,3763.711088,2846.717537
1,485,2,15,294,3,2001,1787.560224,2294.185624,1375.315541
1,485,1,16,294,3,2001,3468.009221,3895.103782,3145.679181
1,485,2,16,294,3,2001,1854.075685,2247.216614,1544.284821
1,485,1,8,294,3,2002,236.6022296,256.255849,221.5414991
1,485,2,8,294,3,2002,260.8520335,365.4484739,205.6767802
1,485,1,9,294,3,2002,653.8550547,743.7700172,597.1143002
1,485,2,9,294,3,2002,986.5186532,1375.449843,727.3882036
1,485,1,10,294,3,2002,1664.240595,1980.058623,1490.484462
1,485,2,10,294,3,2002,2165.028873,2799.588963,1686.655789
1,485,1,11,294,3,2002,2693.930235,3307.451454,2308.021343
1,485,2,11,294,3,2002,2523.386274,3227.290188,1978.213471
1,485,1,12,294,3,2002,3002.290727,3966.731922,2399.194112
1,485,2,12,294,3,2002,2152.226669,2854.393698,1641.736203
1,485,1,13,294,3,2002,2949.491981,3819.787507,2321.266819
1,485,2,13,294,3,2002,1870.882878,2444.256601,1394.442105
1,485,1,14,294,3,2002,2955.7862,3682.742507,2404.248001
1,485,2,14,294,3,2002,1736.681669,2344.230587,1245.586111
1,485,1,15,294,3,2002,3341.277551,3916.054324,2902.658353
1,485,2,15,294,3,2002,1947.170631,2453.439478,1503.350705
1,485,1,16,294,3,2002,3594.801285,4090.861943,3242.846616
1,485,2,16,294,3,2002,1928.375159,2317.178938,1590.443066
1,485,1,8,294,3,2003,231.4952984,249.7588772,217.205601
1,485,2,8,294,3,2003,261.2903209,361.1526907,211.0240981
1,485,1,9,294,3,2003,660.813273,747.0230595,605.9249843
1,485,2,9,294,3,2003,1039.314434,1423.187333,790.26585
1,485,1,10,294,3,2003,1706.992238,2022.539776,1530.402072
1,485,2,10,294,3,2003,2350.256463,3003.050391,1851.342533
1,485,1,11,294,3,2003,2900.558584,3492.445995,2503.376522
1,485,2,11,294,3,2003,2892.651509,3628.546548,2310.294103
1,485,1,12,294,3,2003,3260.175631,4254.190991,2627.188805
1,485,2,12,294,3,2003,2449.572337,3178.611507,1905.503007
1,485,1,13,294,3,2003,3241.457108,4123.610839,2552.025082
1,485,2,13,294,3,2003,2135.597976,2728.730711,1640.120961
1,485,1,14,294,3,2003,3178.078991,3936.017793,2578.758445
1,485,2,14,294,3,2003,1933.77356,2529.597923,1430.555031
1,485,1,15,294,3,2003,3466.190674,4054.351141,3004.202802
1,485,2,15,294,3,2003,2088.06526,2590.65628,1630.511652
1,485,1,16,294,3,2003,3668.288926,4156.876306,3282.947691
1,485,2,16,294,3,2003,2055.374205,2454.717776,1706.489038
1,485,1,8,294,3,2004,221.2410089,240.2159491,207.3543361
1,485,2,8,294,3,2004,254.2684885,346.6673948,207.145241
1,485,1,9,294,3,2004,648.610644,737.8246683,596.2056467
1,485,2,9,294,3,2004,1068.17722,1443.788345,835.5292043
1,485,1,10,294,3,2004,1696.69639,2003.432407,1524.337737
1,485,2,10,294,3,2004,2442.892476,3121.196132,1945.085666
1,485,1,11,294,3,2004,2982.552503,3599.956983,2591.498245
1,485,2,11,294,3,2004,3111.09173,3888.22485,2532.115574
1,485,1,12,294,3,2004,3441.433546,4445.878763,2799.773846
1,485,2,12,294,3,2004,2696.530839,3474.240214,2131.103287
1,485,1,13,294,3,2004,3485.748827,4396.374463,2784.708884
1,485,2,13,294,3,2004,2332.232409,2938.11671,1826.235544
1,485,1,14,294,3,2004,3347.227337,4130.198858,2733.323654
1,485,2,14,294,3,2004,2098.05247,2714.897524,1591.807158
1,485,1,15,294,3,2004,3498.797962,4092.742044,3036.916893
1,485,2,15,294,3,2004,2166.763048,2686.877479,1719.888564
1,485,1,16,294,3,2004,3819.293225,4316.420491,3438.215926
1,485,2,16,294,3,2004,2189.961366,2606.166041,1841.778148
1,485,1,8,294,3,2005,214.0418445,232.3594677,199.9343384
1,485,2,8,294,3,2005,244.4958643,331.0596513,199.2528571
1,485,1,9,294,3,2005,629.3506109,709.9596157,579.1325631
1,485,2,9,294,3,2005,1055.05665,1415.367587,825.699134
1,485,1,10,294,3,2005,1634.1212,1947.676015,1467.33822
1,485,2,10,294,3,2005,2400.073513,3034.354686,1887.229816
1,485,1,11,294,3,2005,2994.973972,3614.185952,2625.89636
1,485,2,11,294,3,2005,3178.635997,3891.644947,2575.125413
1,485,1,12,294,3,2005,3552.804176,4526.941549,2931.42485
1,485,2,12,294,3,2005,2846.780998,3591.881219,2263.471876
1,485,1,13,294,3,2005,3650.644085,4557.252435,2946.439957
1,485,2,13,294,3,2005,2425.94049,3024.46319,1901.691817
1,485,1,14,294,3,2005,3479.890314,4255.718322,2861.733311
1,485,2,14,294,3,2005,2190.794321,2760.318029,1684.457249
1,485,1,15,294,3,2005,3477.820175,4017.793491,3007.004156
1,485,2,15,294,3,2005,2161.836823,2621.177089,1717.524461
1,485,1,16,294,3,2005,3956.434072,4394.155372,3571.844073
1,485,2,16,294,3,2005,2320.464132,2676.492199,1990.273299
1,485,1,8,294,3,2006,218.8094531,237.7289882,204.5868633
1,485,2,8,294,3,2006,244.3676059,325.5628342,202.2549735
1,485,1,9,294,3,2006,629.346514,702.0492089,581.982163
1,485,2,9,294,3,2006,1026.491689,1341.717216,820.4371023
1,485,1,10,294,3,2006,1565.055228,1841.260501,1406.516831
1,485,2,10,294,3,2006,2292.14521,2894.441012,1826.965753
1,485,1,11,294,3,2006,2958.280093,3513.887983,2596.007429
1,485,2,11,294,3,2006,3130.289071,3822.51705,2578.390639
1,485,1,12,294,3,2006,3595.518321,4524.004145,2989.446182
1,485,2,12,294,3,2006,2848.155694,3564.162242,2310.908317
1,485,1,13,294,3,2006,3735.139893,4627.860857,3048.779974
1,485,2,13,294,3,2006,2459.640598,3019.977115,1999.550235
1,485,1,14,294,3,2006,3549.222527,4295.910485,2924.953465
1,485,2,14,294,3,2006,2214.566151,2731.663023,1778.088155
1,485,1,15,294,3,2006,3545.110211,4089.592458,3084.503722
1,485,2,15,294,3,2006,2116.059535,2515.825011,1745.983767
1,485,1,16,294,3,2006,4102.872917,4558.909637,3737.898793
1,485,2,16,294,3,2006,2408.853416,2735.520432,2129.93372
1,485,1,8,294,3,2007,221.685499,240.5666465,208.0958059
1,485,2,8,294,3,2007,239.1439496,316.6770705,199.9673296
1,485,1,9,294,3,2007,599.9793091,666.608821,562.4018857
1,485,2,9,294,3,2007,943.0202195,1232.550524,761.8239224
1,485,1,10,294,3,2007,1431.588868,1700.905216,1298.563582
1,485,2,10,294,3,2007,2084.609885,2654.171702,1673.235778
1,485,1,11,294,3,2007,2783.869097,3314.425879,2474.215977
1,485,2,11,294,3,2007,2892.982837,3517.359258,2402.520935
1,485,1,12,294,3,2007,3463.820557,4357.830618,2931.997152
1,485,2,12,294,3,2007,2684.367831,3359.109746,2202.032964
1,485,1,13,294,3,2007,3513.439569,4395.605069,2912.613389
1,485,2,13,294,3,2007,2334.098733,2856.020713,1917.63829
1,485,1,14,294,3,2007,3450.088039,4179.515411,2917.818068
1,485,2,14,294,3,2007,2103.621571,2542.622035,1738.224046
1,485,1,15,294,3,2007,3409.991235,3880.092731,3034.540725
1,485,2,15,294,3,2007,2014.725099,2339.622422,1705.60226
