F15Regions,DName2016,CName2016,SName2016,scode,SC,Sname,scode17,DNama2017,BCOUNTIES
BUSOGA,MAYUGE,BUNYA,WAIRASA,"214113",MAYUGEBUNYAWAIRASA,WAIRASA,"214113",MAYUGE,
BUSOGA,MAYUGE,BUNYA,BUWAAYA,"214105",MAYUGEBUNYABUWAAYA,BUWAAYA,"214105",MAYUGE,
ELGON,BULAMBULI,BULAMBULI,BULAAGO,"225103",BULAMBULIBULAMBULIBULAAGO,BULAAGO,"225103",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BWIKHONGE,"225111",BULAMBULIBULAMBULIBWIKHONGE,BWIKHONGE,"225111",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,LUSHA,"225114",BULAMBULIBULAMBULILUSHA,LUSHA,"225114",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,NABBONGO,"225112",BULAMBULIBULAMBULINABONGO,NABBONGO,"225112",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BUMUGIBOLE,"225109",BULAMBULIBULAMBULIBUMUGIBOLE,BUMUGIBOLE,"225109",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BUGINYANYA,"225101",BULAMBULIBULAMBULIBUGINYANYA,BUGINYANYA,"225101",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BULAMBULI TOWN COUNCIL,"225104",BULAMBULIBULAMBULIBULAMBULI TOWN COUNCIL,BULAMBULI TOWN COUNCIL,"225104",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BULEGENI TOWN COUNCIL,"225119",BULAMBULIBULAMBULIBULEGENI TOWN COUNCIL,BULEGENI TOWN COUNCIL,"225119",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,KAMU,"225116",BULAMBULIBULAMBULIKAMU,KAMU,"225116",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,MUYEMBE,"225113",BULAMBULIBULAMBULIMUYEMBE,MUYEMBE,"225113",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,SIMU,"225100",BULAMBULIBULAMBULISIMU,SIMU,"225103",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BULEGENI,"225105",BULAMBULIBULAMBULIBULEGENI,BULEGENI,"225105",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BUMASOBO,"225108",BULAMBULIBULAMBULIBUMASOBO,BUMASOBO,"225108",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,BULUGANYA,"225107",BULAMBULIBULAMBULIBULUGANYA,BULUGANYA,"225107",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,SISIYI,"225118",BULAMBULIBULAMBULISISIYI,SISIYI,"225118",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,NAMISUNI,"225117",BULAMBULIBULAMBULINAMISUNI,NAMISUNI,"225117",BULAMBULI,
ELGON,BULAMBULI,BULAMBULI,MASIIRA,"225115",BULAMBULIBULAMBULIMASIIRA,MASIIRA,"225115",BULAMBULI,
TESO,KATAKWI,USUK,NGARIAM,"207203",KATAKWIKATAKWINGARIAM,NGARIAM,"207203",KATAKWI,
BUSOGA,MAYUGE,BUNYA,JAGUZI,"214107",MAYUGEBUNYAJAGUZI,JAGUZI,"214107",MAYUGE,
BUSOGA,MAYUGE,BUNYA,MALONGO,"214110",MAYUGEBUNYAMALONGO,MALONGO,"214110",MAYUGE,
BUSOGA,MAYUGE,BUNYA,BUKATUBE,"214103",MAYUGEBUNYABUKATUBE,BUKATUBE,"214103",MAYUGE,
BUSOGA,JINJA,KAGOMA,BUYENGO,"204305",JINJAKAGOMABUYENGO,BUYENGO,"204305",JINJA,
BUSOGA,LUUKA,LUUKA,IRONGO,"229105",LUUKALUUKAIRONGO,IRONGO,"229105",LUUKA,
BUSOGA,JINJA,BUTEMBE,BUSEDDE,"204102",JINJABUTEMBEBUSEDDE,BUSEDDE,"204102",JINJA,
BUSOGA,LUUKA,LUUKA,WAIBUGA,"229108",LUUKALUUKAWAIBUGA,WAIBUGA,"229108",LUUKA,
BUSOGA,KAMULI,BUGABULA,NAMWENDWA,"205107",KAMULIBUGABULANAMWENDWA,NAMWENDWA,"205107",KAMULI,
BUSOGA,KAMULI,BUGABULA,BULOPA,"205102",KAMULIBUGABULABULOPA,BULOPA,"205102",KAMULI,
BUSOGA,LUUKA,LUUKA,BUKOOMA,"229102",LUUKALUUKABUKOOMA,BUKOOMA,"229102",LUUKA,
BUSOGA,LUUKA,LUUKA,IKUMBYA,"229104",LUUKALUUKAIKUMBYA,IKUMBYA,"229104",LUUKA,
ELGON,BULAMBULI,BULAMBULI,BUKHALU,"225102",BULAMBULIBULAMBULIBUKHALU,BUKHALU,"225102",BULAMBULI,
