sim_id,HIV/TB_coinfection_Female,HIV/TB_coinfection_Male,TB_only_Female,TB_only_Male,total_mse,rank_total,rank_HIV/TB_coinfection_Female,rank_HIV/TB_coinfection_Male,rank_TB_only_FEMALE,rank_TB_ONLY_MALE,b1_calib_id,b2_calib_id,m1_calib_id,m2_calib_id,m3_calib_id,m4_calib_id
372," 66,515 "," 55,701 "," 3,719 "," 7,559 "," 133,494 ",98,72,516,317,313,17.2,18,1-L,2-L,3-H,4-H
168," 63,419 "," 53,078 "," 4,983 "," 12,023 "," 133,504 ",99,64,507,424,424,16.4,17.6,1-L,2-H,3-H,4-H
519," 54,544 "," 64,054 "," 4,540 "," 10,377 "," 133,515 ",100,38,534,383,383,18,16.8,1-L,2-H,3-H,4-L
548," 62,207 "," 60,841 "," 3,531 "," 6,938 "," 133,516 ",101,59,529,308,301,18,17.6,1-L,2-L,3-H,4-H
468," 58,401 "," 65,131 "," 3,414 "," 6,584 "," 133,529 ",102,48,538,298,291,17.6,18,1-L,2-L,3-H,4-H
184," 52,324 "," 66,556 "," 4,486 "," 10,189 "," 133,555 ",103,36,539,376,376,16.4,18,1-L,2-H,3-H,4-H
423," 62,369 "," 54,651 "," 4,899 "," 11,705 "," 133,624 ",104,60,512,417,417,17.6,16.8,1-L,2-H,3-H,4-L
520," 55,104 "," 63,614 "," 4,546 "," 10,386 "," 133,650 ",105,40,533,384,384,18,16.8,1-L,2-H,3-H,4-H
547," 62,196 "," 60,994 "," 3,529 "," 6,946 "," 133,665 ",106,58,530,307,302,18,17.6,1-L,2-L,3-H,4-L
424," 62,750 "," 54,311 "," 4,903 "," 11,710 "," 133,674 ",107,62,511,418,418,17.6,16.8,1-L,2-H,3-H,4-H
381," 105,181 "," 22,959 "," 1,178 "," 4,396 "," 133,713 ",108,206,361,28,185,17.2,18,1-H,2-H,3-L,4-L
