"sim_id","program_id","undisc_inc","disc_inc"
8134,3,9916.12646031411,8762.28795863805
81396,1,12476.8088426837,10954.8255453259
81396,2,9863.3370847841,8708.44977298051
81396,3,9783.3231408464,8634.84836021745
81523,1,12595.7636463656,11063.1441937369
81523,2,9862.51408946007,8715.9247839805
81523,3,9518.01923977505,8415.67378225773
81524,1,12049.7432515863,10588.2690510492
81524,2,9086.51539864183,8042.39472712756
81524,3,8993.37152277475,7959.69409262016
81655,1,13531.7497320395,11891.8875475325
81655,2,10828.5200653063,9567.85049313273
81655,3,10616.4079999195,9382.05111781177
81783,1,12874.4922478776,11305.2932908368
81783,2,10266.1672336164,9061.30816381473
81783,3,10147.6143564746,8954.78260469295
82178,1,13301.5538178235,11686.0520876626
82178,2,10228.4770810759,9051.47710505484
82178,3,9822.24284594798,8698.13258338459
82412,1,12198.4950307964,10717.1916357934
82412,2,9350.20660273389,8267.98870793539
82412,3,9308.94132268219,8230.40233138029
82492,1,14206.5914185587,12474.6327568756
82492,2,11387.0806440305,10050.5497203219
82492,3,11100.1723278349,9800.82652800874
8254,1,12306.9363064001,10800.9289937211
8254,2,9580.9824019289,8460.98843780037
8254,3,9304.36942029203,8221.82028050981
82616,1,12802.6610583906,11243.0623185874
82616,2,9472.5094640825,8381.05023267704
82616,3,9356.23798941053,8278.26185650244
82768,1,12616.3649051855,11076.8009365922
82768,2,9768.29818950168,8634.203102042
82768,3,9571.06056471479,8459.49100159046
82879,1,13197.1984629014,11593.6213388797
82879,2,10526.4952197843,9297.14643287012
82879,3,10051.7478928979,8886.21672266765
82977,1,13102.5995173026,11512.6629765702
82977,2,10508.0769626188,9282.2905039839
82977,3,10099.7545416377,8928.75624269388
83398,1,12361.9834417475,10866.2287173491
83398,2,9485.56260202913,8393.46543403005
83398,3,9412.7450682457,8327.10607509533
83600,1,12626.4881643035,11087.2836823929
83600,2,10076.7020860231,8900.39862226712
83600,3,9761.49192930781,8625.48310671975
83852,1,13374.0382979648,11747.0593040898
83852,2,10784.2549497128,9523.17560212995
83852,3,10358.2999598988,9152.23382793256
83862,1,12295.2853256617,10797.7715582514
83862,2,9570.30948806886,8456.36281124733
83862,3,9551.10907812944,8436.96588347576
