"G_compartment","sex_name","year","expected_total_pop","expected_disease_pop","expected_non_disease_pop","expected_non_disease_mort_total","expected_non_disease_mort_rate","TB_compartment","HIV_compartment","hiv_adj","tb_adj","mort_rate","level"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,5,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,5,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,5,4,1.2,1,0.00852205487397186,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,6,1,1,18,0.127830823109578,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,6,2,5,5,0.177542809874414,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,6,3,10,4,0.284068495799062,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,6,4,1.2,18.3333333333333,0.156237672689484,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,7,1,1,1,0.00710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,7,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,7,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,7,4,1.2,1,0.00852205487397186,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,8,1,1,1,0.00710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,8,2,5,1,0.0355085619748827,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,8,3,10,1,0.0710171239497655,"H"
1,"male",1992,10279132.0610008,166740.024744784,10112392.036256,71815.2998667416,0.00710171239497655,8,4,1.2,1,0.00852205487397186,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,1,1,1,1,0.00680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,1,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,1,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,1,4,1.2,1,0.00816035468653641,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,2,1,1,1,0.00680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,2,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,2,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,2,4,1.2,1,0.00816035468653641,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,3,1,1,1,0.00680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,3,2,5,1,0.0340014778605684,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,3,3,10,1,0.0680029557211367,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,3,4,1.2,1,0.00816035468653641,"H"
1,"male",1993,10544226.4234563,235541.789518587,10308684.6339377,70102.102470483,0.00680029557211367,4,1,1,1,0.00680029557211367,"H"
