"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","hiv_prev_mse_male_norm","hiv_prev_mse_female_norm","hiv_prev_mse_male_norm_rank","hiv_prev_mse_female_norm_rank"
83,9539.27451217164,36051.8746193129,191243.041493355,45770.2792747352,191353829.148236,126012283.112669,317366112.260905,0.0387890193573714,0.0464213842025803,6,6,12,35,1.5,14,22,60,17,0.421708813626755,0.269187215288502,3260,3196
84,9541.6117451484,36069.5603929678,185611.544604687,44763.2145921631,191663596.085726,125096119.730059,316759715.815785,0.0387904830107521,0.0462062281514113,6,6,12,35,1.5,14,22,60,20,0.422600901241824,0.266146310191258,3267,3172
85,9531.77391338507,35979.684553352,225150.549051161,52743.3084696855,190674158.757634,127645958.623559,318320117.381193,0.0386012122610409,0.0465655152308256,6,6,12,35,1.5,14,30,40,17,0.419751453223157,0.274609667530761,3247,3240
86,9534.24827667506,35998.2557877124,219068.611833928,51423.6441961054,191003620.36237,126692431.457523,317696051.819893,0.0386028504132401,0.0463450971598019,6,6,12,35,1.5,14,30,40,20,0.420700258862673,0.271444745558767,3253,3215
87,9834.93905387379,37616.7246060925,151430.562196643,35387.8697941888,199951387.965882,118327960.655923,318279348.621805,0.0394705287662319,0.0453175327093668,6,6,12,35,1.5,14,30,60,17,0.446468640492765,0.243681616864538,3467,2970
88,9837.41932250213,37635.7340392085,146702.740218858,34726.3285027427,200259971.522509,117475322.806586,317735294.329095,0.0394719333581186,0.0451109157059875,6,6,12,35,1.5,14,30,60,20,0.447357320128208,0.240851564025309,3478,2946
89,6252.39365707337,21780.5561568443,291578.90052464,76361.8164290722,181207405.395741,136275953.575131,317483358.970872,0.0378364633260771,0.0477714205971016,6,6,12,35,1.5,17,22,40,17,0.392488461576899,0.303254116911253,3141,3421
90,6253.21547004082,21785.0133976074,284381.567632365,74525.3036411111,181529465.340896,135266410.566877,316795875.907773,0.0378381262397808,0.0475452141460792,6,6,12,35,1.5,17,22,40,20,0.39341595142043,0.299903268647769,3142,3398
91,6527.43721578039,23134.9848464512,202511.311894705,49591.5970732804,190556857.920176,126136068.006737,316692925.926913,0.0387333210204872,0.0464665538406504,6,6,12,35,1.5,17,22,60,17,0.419413642399375,0.269598078811841,3244,3201
92,6528.46589405649,23141.6666204803,196820.297956824,48515.0057772357,190860050.346099,125233936.026351,316093986.37245,0.0387347470188002,0.0462546123564321,6,6,12,35,1.5,17,22,60,20,0.420286796294821,0.266603746371126,3248,3175
93,6520.10610255862,23076.711253187,236883.343284967,57090.5405245793,189875902.755418,127731787.785694,317607690.541112,0.0385477849133878,0.0466096028081825,6,6,12,35,1.5,17,30,40,17,0.417452582016942,0.274894549399632,3233,3244
94,6521.20076572176,23083.683668924,230748.158698738,55704.5089337366,190198242.446031,126793224.508451,316991466.954482,0.038549380926277,0.0463925076647657,6,6,12,35,1.5,17,30,40,20,0.418380877490216,0.271779295168751,3236,3218
95,6799.97863796817,24481.0368123925,162052.218257916,38265.3853845155,198937997.340629,118592249.280353,317530246.620982,0.0393989207427579,0.0453860643116146,6,6,12,35,1.5,17,30,60,17,0.443550210161425,0.244558836627331,3435,2979
96,6801.25090904342,24489.9401837799,157244.931623559,37527.4960514041,199239739.05456,117752413.044845,316992152.099405,0.0394002891847358,0.0451825873165694,6,6,12,35,1.5,17,30,60,20,0.444419186199115,0.241771274563749,3446,2953
97,9184.93984249336,34799.925927822,328602.314226529,99584.4609603178,286160363.363846,78483606.3580784,364643969.721925,0.0466474214790818,0.0387041769787269,6,6,12,45,1.2,14,22,40,17,0.69473903333599,0.111431297346667,4704,1738
98,9187.26838245261,34817.5662569583,321070.248155133,97403.4967211469,286581896.182265,77780608.5306214,364362504.712886,0.0466490497583208,0.0384892009991265,6,6,12,45,1.2,14,22,40,20,0.695952991835577,0.109097925682351,4705,1721
99,9457.00794737592,36261.8993658802,242991.009060448,71022.1587734908,295569036.891252,74488642.0569157,370057678.948168,0.0473622666890229,0.0376512872919974,6,6,12,45,1.2,14,22,60,17,0.721834762777148,0.0981713182454409,4819,1647
100,9459.33581942539,36279.8591226099,236806.269113101,69537.1397859974,295961093.414499,73856787.3204252,369817880.734924,0.0473636695340781,0.0374483377046522,6,6,12,45,1.2,14,22,60,20,0.722963833463743,0.0960740828337412,4826,1628
101,9481.17204643538,36364.2386016105,268560.136214396,75825.7282310255,297343233.628723,73734908.2183153,371078141.847039,0.0473581628742442,0.037527011182966,6,6,12,45,1.2,14,30,40,17,0.726944213608223,0.095669544964308,4855,1625
102,9483.65740230432,36383.3014186131,262099.659018201,74112.4871755718,297757721.868748,73090382.6743951,370848104.543143,0.0473597230471408,0.037320905617589,6,6,12,45,1.2,14,30,40,20,0.728137884658189,0.0935302529460787,4865,1606
103,9753.95644498439,37842.5334887531,196484.195539431,54904.8264094153,306348073.135357,70389010.8759506,376737084.011308,0.0480334184378514,0.0365438726808157,6,6,12,45,1.2,14,30,60,17,0.752876954735023,0.0845639316246118,5109,1504
104,9756.42236039689,37861.7372867727,191210.567202402,53785.6284239622,306732573.39526,69808871.4289746,376541444.824235,0.0480347623642399,0.0363492164315489,6,6,12,45,1.2,14,30,60,20,0.75398426438734,0.0826383482244147,5125,1477
105,6197.52356003383,22034.5652886185,340869.613963821,105352.910032835,285606597.042935,78363356.8155627,363969953.858497,0.0466251296612039,0.0387140328722599,6,6,12,45,1.2,17,22,40,17,0.693144259921721,0.111032168268035,4701,1733
106,6198.42779169333,22040.5344400662,333334.100726484,103132.948166235,286019916.97048,77672215.5695146,363692132.539995,0.0466267155232497,0.0385023714377482,6,6,12,45,1.2,17,22,40,20,0.694334566387004,0.108738150652927,4703,1720
107,6446.02498504427,23277.5960636625,254931.800231018,75941.4576247755,294806134.529477,74453937.8714501,369260072.400927,0.0473248053513978,0.0376816099849036,6,6,12,45,1.2,17,22,60,17,0.719637705357261,0.0980561290374008,4806,1646
108,6447.08948911781,23285.2480825888,248715.032978832,74404.7270907928,295190423.774739,73832207.1759159,369022630.950655,0.0473261715919628,0.037481801130653,6,6,12,45,1.2,17,22,60,20,0.720744407315454,0.0959924970727862,4814,1627
109,6467.10474399966,23362.1745373105,280769.334103392,81026.0761324935,296522289.278882,73710615.2074889,370232904.486371,0.0473193705159472,0.0375605711013273,6,6,12,45,1.2,17,30,40,17,0.7245800029759,0.0955889122498255,4838,1624
110,6468.27576669905,23370.5343991139,274279.23129544,79263.2407546329,296928409.20172,73076492.7312672,370004901.932987,0.0473208900470983,0.0373576854127604,6,6,12,45,1.2,17,30,40,20,0.725749574384432,0.0934841498168118,4845,1604
